sentence,emotion
Ein neues «Markt-Design» soll Probleme des Strommarktes beseitigen,Antizipation
Die Davids gegen den Goliath,Vertrauen
Wie Biotech-Aktien auf Donald Trump reagieren,Antizipation
Ist unsere Demokratie gefährdet?,Angst
Das Wahlrecht für eine 28-Stunden-Woche kommt,Unklar
Frau will mit Spritze im Spital ihren Vater «erlösen» – ist das aktive Sterbehilfe oder ein Tötungsdelikt?,Traurigkeit
"Fussball, grün und vegan",Freude
Transmenschen sollen Geschlecht und Vornamen einfacher ändern können,Unklar
Es gibt nochmals Bundesgeld für neue Kita-Plätze,Unklar
Bundesrat prescht beim Fernmeldegesetz vor,Ärger
Das rote Österreich begehrt auf gegen die Regierung Kurz,Ärger
Die Türkei erklärt den totalen Kampf,Unklar
Französischer Wachkomapatient darf sterben,Traurigkeit
Kita-Verbandxa0kritisiert Stadt Zürich,Ärger
Neues aus dem Luzerner Alterslabor,Freude
Krankenkassen erhalten starken Prämienschub,Unklar
Eine Steuer zum Schutz der Gesundheit?,Unklar
Die UBS entdeckt die reichen Frauen,Antizipation
Der Streit um eine deutsche Kita-Broschüre kommt vor Gericht,Ärger
Aus den Trümmern der Finanzkrise erhob sich der Bitcoin,Überraschung
Endlich Überblick in Sachen #MeToo,Unklar
"Hier Aufmarsch, da Demo",Unklar
Luca Waldschmidt: Deutschlands veganer Bomber,Freude
Die Kryptowährung Libra lässt in China die Alarmglocken schrillen,Unklar
Indien macht muslimische «Instant-Scheidung» strafbar,Unklar
"Wissenschafter werweissen, ob die Erde in eine Heisszeit kippen könnte",Angst
"FC Luzern: So weit, so bitter",Unklar
Ewige Bestimmung des Menschen,Antizipation
Fast jede zweite Stadträtin scheidet unfreiwillig aus dem Amt,Unklar
Flirt mit der 28-Stunden-Woche,Keine
Die Öffnung des Strommarkts spaltet Politik und Wirtschaft,Keine
Wenn Verbrecher sterben wollen,Traurigkeit
Männer legen im Haushalt vermehrt Hand an,Keine
Die Radikalisierung an den Schulen verhindern,Unklar
Helvetia bietet Krankenversicherungen an,Keine
Die heisse Liebe der Schweizer Blockchain-Branche für Libra droht abzukühlen,Keine
Nochmals Geld für neue Kita-Plätze,Keine
"Frauen aus der DDR wurden nach dem Mauerfall als Rabenmütter beschimpft, weil sie Beruf und Kinder unter einen Hut bringen wollten. Heute gehört dies zum modernen Gesellschaftsbild",Unklar
Frauen ziehen sich aus der Politik zurück,Keine
"«Ich habe Fälle von jungen Frauen erlebt, die nach einer Vergewaltigung bis zum Schluss verdrängt haben, dass sie schwanger waren»",Unklar
Zuerst die Arbeit oder zuerst das Vergnügen?,Unklar
Die offene Gesellschaft verteidigen,Vertrauen
Die Medikamente müssen beim Spitaleintritt genau überprüft werden,Unklar
Jetzt wird Deutschland übermütig,Ärger
Warum habt ihr mich gezeugt? – Ein Antinatalist macht seinen Eltern den Prozess,Überraschung
Proportionen in der Bankenregulierung wahren,Unklar
Die Bitcoin-Blase wird platzen – und das ist gut so,Antizipation
Kantone gegen «Kuhhandel»,Vertrauen
In Seouls Verwaltung werden die Computer am Freitagabend von der Stromversorgung abgeschnitten. Denn die Südkoreaner arbeiten zu viel.,Unklar
Ananas-Jeans im Anmarsch – Los Angeles zelebriert vegane Mode,Freude
Einfallstor für Pädophile? Mehrere Bundesländer verbieten umstrittenes Kita-Spiel,Unklar
Dies sind die grössten Fallen bei der Wahl der Krankenkasse,Unklar
Gemeinsam ist nur der Preisvergleich,Unklar
Das grosse Wagnis der Freiheit: Was moderne Demokratien zusammenhält,Antizipation
Den Tiefpunkt überwinden – ohne erneut zu fallen,Traurigkeit
Im «buntesten» Apothekenmarkt Europas drohen Übersättigung und Unterversorgung,Keine
Erdöl ist zu einem dreckigen Wort geworden: Können sich die grossen Ölkonzerne neu erfinden?,Unklar
Dieser Mann hat einen Suizidversuch überlebt und plädiert heute fürs Leben,Freude
"Ein anderes Volk, bitte!",Antizipation
Alles andere ist Beilage,Unklar
Der Bitcoin erhält einen Vorgeschmack auf die Regulierung,Überraschung
Entwickeln sich Bitcoin und Co. vom Spekulationsobjekt zur Anlageklasse?,Antizipation
Auch bei 6000 Dollar verfliegen die Bitcoin-Sorgen nicht,Antizipation
Weltweit verlieren viele den Glauben an die Demokratie,Unklar
App warnt Ärzte und Patienten vor falschen Medikamenten,Vertrauen
Zwischen Olympiagold und Sterbehilfe – die Geschichte der Rollstuhlathletin Marieke Vervoort,Unklar
Frauenquoten: der Siegeszug eines Denkfehlers,Unklar
Der Verein Exit hat ein Millionenvermögen angehäuft. Was macht eine Sterbehilfeorganisation mit so viel Geld?,Angst
McVegan will Finnland erobern,Unklar
Kinderbetreuungsabzug light,Unklar
Altersvorsorge: Wo Frauen Privilegien haben,Vertrauen
Ein Wunschkonzert für deutsche Arbeitnehmer,Ärger
Die türkische Demokratie ist noch lange nicht tot,Vertrauen
Suizidhilfe für alle Erwachsenen? Wie ein ethisches Dilemma die Fachwelt spaltet,Vertrauen
Wie es um den Fortschritt bei der Energiewende steht,Unklar
Ein Geschenk als Wendepunkt,Ärger
Klimaerwärmung: Anmassung von Nicht-wissen-Wollen,Ärger
Wenn das Spielen vom Arbeiten abhält,Angst
Zürich sagt Ja zur Energiestrategie,Unklar
Trump verspricht staatlich gelenkte Pharmapreise,Ärger
Achtköpfige Bande betrügt Krankenkasse um 3 Millionen,Unklar
Was ist vom Klima-Gipfel in Bonn zu erwarten?,Unklar
Zahlungssystem und «Weltwährung» Libra: Mit verhindern und verbieten verpasst die EU die Zukunft,Unklar
Das Facebook-Währungsprojekt Libra stösst in Washington auf viel Skepsis,Vertrauen
Wenn es den Wählern zu wenig Fleisch am Knochen hat,Überraschung
Trump wettert gegen die globale Trittbrettfahrerei im Pharmawesen,Unklar
Der deutsche Gesundheitsminister blockiert die Sterbehilfe,Traurigkeit
Indiens Wahrzeichen sollen mit Firmenlogos versehen werden,Freude
Kita- und Schulkinder müssen gegen Masern geimpft werden,Unklar
Die Zukunft der Geschlechterbeziehungen,Unklar
Keine Bitcoin an diesem Bankschalter,Unklar
Glauben statt wissen – Religionen bergen eine andere Art von Erfahrung,Unklar
Die Hürden für Schwule und Lesben zur Kinderadoption sind kleiner als gedacht,Keine
Warum Apple andere Internetgiganten in Sachen erneuerbare Energien abhängt,Freude
Venezuelas Kryptowährung Petro ist ein verzweifelter Versuch an ausländische Gelder zu kommen,Ärger
Frauen in der Schweiz haben im Alter tiefere Renten als Männer,Keine
Deutsche-Bank-Chef fordert «Jägermentalität» und kündigt harte Entscheidungen an,Unklar
Schweizer Banken sehen in Libra nur eine weitere Kryptowährung,Angst
Seelenbalsam für besondere Kinder,Vertrauen
Reinfall im Spitzenspiel,Unklar
Die Rentenreform bringt die Frauen ins Dilemma,Unklar
Wenn Medikamente töten statt heilen,Traurigkeit
Bundesgericht auf dem Rückzug,Ärger
So können Anleger auf den Kampf gegen den Klimawandel setzen,Unklar
Schwein ist mein ganzes Herz,Ärger
Die Zukunft ist erneuerbar,Unklar
Das Parlament ist noch immer weitgehend ein Männerklub – bei den Wahlen 2019 soll sich das ändern,Überraschung
Die Pflegefinanzierung darf die Krankenversicherung nicht übermässig belasten,Ärger
Wie ein Deutscher in Zürich das Verbot der Sterbehilfe in seiner Heimat umgeht,Überraschung
Die dunkle Seite des Bitcoin,Unklar
"Herr Doktor, ich habe Fieber – Grenzüberschreitungen von Frauen",Ärger
Eine violette Welle überrollt den 1. Mai in Zürich,Unklar
Mehr Spielraum für 60-Stunden-Wochen in der Schweiz,Antizipation
Die Eintracht fällt gegen Leverkusen auseinander,Überraschung
Das Arbeitseinkommen verliert an Gewicht,Angst
«Kein endloser Goldrausch bei Bitcoin»,Unklar
"«Keine Nahrung mehr aufzunehmen, ist ein natürlicher Weg des Sterbens»",Traurigkeit
"«Keine Nahrung mehr aufzunehmen, ist ein natürlicher Weg des Sterbens»",Vertrauen
Sterbehilfe ist in Italien kein Tabu mehr,Traurigkeit
Warum Männer mit fünfzig ebenfalls unsichtbar werden,Traurigkeit
Adventskalender (20): Die Schlachthöfe inspirieren Henri Ford für die Autoproduktion,Unklar
Manchmal geschehen kleine Wunder,Vertrauen
Bundesgericht: Sollen Krankenkassen die Kosten für Geschlechtsanpassungen im Ausland übernehmen?,Unklar
Die Schweizer sind am fleissigsten – ein Mythos?,Überraschung
Bundesrat will Kinderbetreuungsabzug light,Antizipation
Die Stadt Zürich baut die Kinderbetreuung weiter aus,Antizipation
Eine Lex Bitcoin braucht es nicht,Ärger
Auch Kalifornien erlässt ein Reiseverbot,Ärger
"Tyrannisch, gefrässig, launig, fürsorglich, manipulativ – wie viel Staat braucht der Mensch?",Unklar
"Antidepressiva: Sie wirken laut einer Studie kaum besser als Placebos, dennoch werden sie massenweise verschrieben",Unklar
"Adoptiert zu sein, ist auch normal",Vertrauen
Die Öffnung der Ehe für schwule und lesbische Paare ist überfällig,Antizipation
Respektiert ihr Frauen? Dann hört auf mit dem Frauenzählen!,Unklar
Die Finma hat zu viele Hüte auf,Ärger
In Lausanne gibt es nun vegetarische Extrawürste,Unklar
Sri Lanka bestätigt grossflächigen Adoptionsbetrug,Unklar
"Schnell reich werden? Nichts einfacher als das, meinen die Befürworter von Vollgeld",Unklar
Wenn kühle Rechner Sozialutopien umsetzen,Unklar
Die Jagdsaison bei den Krankenkassen ist eröffnet,Ärger
Wachstum der ETF dämpft die Übersicht,Antizipation
"Amerikas Frauen strömen in die Politik, scheitern bei den Midterms dann aber doch vielfach an der Urne",Antizipation
Der Staatsanwalt kritisiert das Minelli-Urteil als zu einseitig,Antizipation
Krankenkasse ist nicht gleich Krankenkasse,Keine
Angst vor Populismus,Antizipation
"Was Kindertagesstätten unternehmen, um Missbrauch vorzubeugen",Unklar
Der eigene Tod ist immer zur Stelle,Unklar
"Zentralbanken: der Gott, der keiner sein dürfte",Ärger
Laksmi Pamuntjak: Schreiben als Kampf gegen das eigene Stigma,Ekel
Laksmi Pamuntjak: Schreiben als Kampf gegen das eigene Stigma,Traurigkeit
"Es braucht bloss vier Elemente, damit Prämien für die Krankenversicherung nicht ins Uferlose steigen",Antizipation
"Progressive Fleischesser, konservative Vegetarier",Überraschung
Zehntausende protestieren in Wien gegen die Regierung Kurz,Unklar
"Italien will Patientenverfügungen einführen, doch katholische Kreise protestieren",Traurigkeit
Warum Venezuela eine Kryptowährung bastelt,Antizipation
Polizeidirektoren prüfen Sterbehilfe im Gefängnis,Unklar
Ehe von gleichgeschlechtlichen Paaren soll rasch ermöglicht werden,Vertrauen
Polens Regierung macht Politik auf dem Rücken eines Dreijährigen,Unklar
Extremismus-Experte der Stadt Zürich wechselt zum Kanton,Unklar
So verletzen Sie beim Fasching keine Gefühle mehr,Unklar
Krankenkasse gibt Psychotherapeuten nach,Antizipation
Konkrete Schritte in Richtung Energiewende,Antizipation
In dieser Firma gibt es eine «Happiness-Managerin»,Antizipation
In dieser Firma gibt es eine «Happiness-Managerin»,Freude
In dieser Firma gibt es eine «Happiness-Managerin»,Vertrauen
Amazon könnte bald zur Apotheke werden,Antizipation
Immer mehr junge Frauen werden Malerin und erleben die Nachteile eines typischen Frauenberufs,Überraschung
Immer mehr junge Frauen werden Malerin und erleben die Nachteile eines typischen Frauenberufs,Antizipation
Alte Arzneien finden eine neue Bestimmung,Überraschung
Alte Arzneien finden eine neue Bestimmung,Antizipation
Alte Arzneien finden eine neue Bestimmung,Vertrauen
Familienpolitischer Irrweg,Ärger
Krankenkassen dürfen Daten von Hausärzten veröffentlichen,Unklar
Suizidhilfe: Deutschland hat ein Trauma zu überwinden,Traurigkeit
Der Extremismus der Mimi-Mitte,Ärger
"Es gibt immer noch Wege, die globale Erwärmung auf 1,5 Grad zu begrenzen. Ein Apollo-Programm tut not",Unklar
So wechsle ich die Krankenkasse,Keine
So wechsle ich die Krankenkasse,Antizipation
Hätten Sie den jungen Steve Jobs angestellt?,Überraschung
«Mut zu Imperfektion und Selbstliebe»,Vertrauen
Support für Einführung von Mindeststrafen,Antizipation
Support für Einführung von Mindeststrafen,Vertrauen
Prostitution ist bezahlter sexueller Missbrauch,Traurigkeit
Fast nur Exoten unterstützen die Jagdverbotsinitiative,Antizipation
"Ersetzen Google, Apple und Co den Nationalstaat?",Angst
"Vorwurf: Rassismus! – Wer bei roten Lippen gleich an Blackface denkt, schaut mit dem Blick des Klansmanns auf die Welt",Ärger
"Vorwurf: Rassismus! – Wer bei roten Lippen gleich an Blackface denkt, schaut mit dem Blick des Klansmanns auf die Welt",Traurigkeit
SVP in der Romandie ohne Regierungsrat,Überraschung
"",Ärger
"",Angst
Verkäuferinnen müssen sich gegen aggressive Self-Scanning-Kunden wehren,Ärger
Schutzgebiete werden einheitlich beschildert,Antizipation
Schutzgebiete werden einheitlich beschildert,Vertrauen
Knast-Wärterin wollte Ausbrecher als Killer anheuern,Überraschung
Knast-Wärterin wollte Ausbrecher als Killer anheuern,Angst
SVP-Sieg dank Frustrierten und Selten-Wählern,Überraschung
Obama will am Montag Aktionsplan gegen Klimawandel vorstellen,Antizipation
Obama will am Montag Aktionsplan gegen Klimawandel vorstellen,Vertrauen
Dicke Luft im Videospielsektor,Antizipation
Dopingsünder können aufatmen!,Überraschung
Der tiefe Fall von Bitcoin,Ärger
Der tiefe Fall von Bitcoin,Angst
Uno-Generalsekretär in Afrika: Migration kann auch positiv wirken,Traurigkeit
Was bringen Weiterbildungen?,Antizipation
Droht eine neue bilaterale Eiszeit?,Ärger
Droht eine neue bilaterale Eiszeit?,Angst
EU-Staaten sollen sich von Flüchtlingsverteilung freikaufen können,Vertrauen
«Wir dürfen keine SVP light werden»,Antizipation
Facebook steckt in der selbstgebauten Zwickmühle,Ärger
Der Nationalrat stimmt knapp für eine Frauenquote,Freude
Tusk fordert von Deutschland mehr Einsatz bei der EU-Grenzsicherung,Vertrauen
Unverständliche OECD-Kritik an der Schuldenbremse,Unklar
Ein Sport ohne Dopingfall? Im Orientierungslauf wird nicht betrogen – offiziell,Überraschung
Ein Sport ohne Dopingfall? Im Orientierungslauf wird nicht betrogen – offiziell,Vertrauen
Wachkoma-Patient in Argentinien nach Urteil ohne Eingriff gestorben,Traurigkeit
Wachkoma-Patient in Argentinien nach Urteil ohne Eingriff gestorben,Vertrauen
VBZ testen autonomen Bus,Freude
VBZ testen autonomen Bus,Vertrauen
Facebook verärgert das Europaparlament,Überraschung
Facebook verärgert das Europaparlament,Vertrauen
Sexuelle Belästigung: Das EU-Parlament hält sich den Spiegel vor,Ärger
Sexuelle Belästigung: Das EU-Parlament hält sich den Spiegel vor,Ekel
Konzerne mit Familienaktionären besser als andere Firmen,Freude
Hier werden Schweizer Frauen diskriminiert,Ärger
"Nach Feuertod: Über 200 Flüchtlinge kommen aufs griechische Festland, Massenabschiebungen geplant – sechs Antworten zur Situation in Moria",Traurigkeit
Die Kantone gefährden sensible Daten ihrer Bürger,Überraschung
Die Kantone gefährden sensible Daten ihrer Bürger,Angst
Ständerat versenkt Gesetz für längere Ladenöffnungszeiten,Keine
Helfen Hormone während der Schwangerschaft?,Antizipation
Kind oder Kuh – wer wird mehr gefördert?,Freude
Nationalrat für längere Ladenöffnungszeiten,Antizipation
Self-Scanning-Bschiss kostet 3000 Franken,Unklar
Die Mühen der Zürcher SVP mit der Wahl in den Ständerat,Überraschung
SVP begeistert eigene Basis nicht mehr,Antizipation
Menschenrechtsgericht billigt passive Sterbehilfe für Franzosen,Traurigkeit
Ex-Präsidentin Park Geun-hye in Handschellen abgeführt,Antizipation
Jugendliche verbringen mehr als vier Stunden täglich am Bildschirm,Antizipation
Haben Hacker das iPhone X geknackt?,Überraschung
Haben Hacker das iPhone X geknackt?,Antizipation
Haben Hacker das iPhone X geknackt?,Vertrauen
Der Klimawandel bedroht auch die Wirtschaft,Antizipation
Der Klimawandel bedroht auch die Wirtschaft,Vertrauen
Wie wir für die kommenden Krisen gewappnet sein können – IKRK-Präsident Peter Maurer über die Zukunft der humanitären Nothilfe,Antizipation
Wie wir für die kommenden Krisen gewappnet sein können – IKRK-Präsident Peter Maurer über die Zukunft der humanitären Nothilfe,Vertrauen
Wie digital soll das Bildungssystem der Zukunft sein?,Vertrauen
Allianz profitiert von geringen Schäden aus Naturkatastrophen,Freude
Ungarischer Zuhälter kommt um den Pranger herum,Ärger
In Finnland hat die umstrittene Wolfsjagd begonnen,Antizipation
"Apple, Google & Co. im Sturzflug",Antizipation
Deutschland verfällt in eine Rassismus-Hysterie,Traurigkeit
Winterthur will mehr Kaderfrauen,Überraschung
Winterthur will mehr Kaderfrauen,Antizipation
Winterthur will mehr Kaderfrauen,Vertrauen
Frauen leisten weiterhin mehr unbezahlte Arbeit als Männer,Überraschung
Frauen leisten weiterhin mehr unbezahlte Arbeit als Männer,Keine
Die SVP im wirtschaftspolitischen Blindflug,Antizipation
Es gibt eine hormonelle Bremse für intersexuelle Leichtathleten,Antizipation
Juncker beruft EU-Sondertreffen zu Flüchtlingskrise ein,Antizipation
Juncker beruft EU-Sondertreffen zu Flüchtlingskrise ein,Vertrauen
Das Silicon Valley kritisiert zunehmend das Silicon Valley,Überraschung
Grundeinkommen in Rheinau: Mit einem Kunstprojekt lässt sich keine Politik machen,Antizipation
Begreifen die Autofahrer es endlich?,Vertrauen
Begreifen die Autofahrer es endlich?,Angst
Erste autonome Fahrplan-Busse der Schweiz nehmen Betrieb auf,Keine
Erste autonome Fahrplan-Busse der Schweiz nehmen Betrieb auf,Antizipation
Erste autonome Fahrplan-Busse der Schweiz nehmen Betrieb auf,Freude
Künstliche Intelligenz besser bei Hautkrebsdiagnose als Ärzte,Überraschung
Künstliche Intelligenz besser bei Hautkrebsdiagnose als Ärzte,Antizipation
Künstliche Intelligenz besser bei Hautkrebsdiagnose als Ärzte,Freude
Doping ist kein Problem mehr,Antizipation
Doping ist kein Problem mehr,Vertrauen
Google macht Zusagen zur Shopping-Suche an EU-Wettbewerbshüter,Antizipation
Wenn der Musterschüler beim Recycling schummelt,Überraschung
Wenn der Musterschüler beim Recycling schummelt,Antizipation
Für die Digitalisierung genügen die alten Tugenden,Antizipation
"Die AHV schreibt ein Defizit von 2,2 Milliarden Franken",Traurigkeit
"Zürich sehnt sich nach dem Mittelmeer, bringt den Zwingli aber nicht aus sich heraus",Freude
Bitte keine Panik – im Umgang mit künstlicher Intelligenz ist Augenmass gefragt,Überraschung
Bitte keine Panik – im Umgang mit künstlicher Intelligenz ist Augenmass gefragt,Antizipation
Diese nicht veganen Zusatzstoffe muss man kennen,Keine
Autonome Fahrzeuge brauchen keine Ethik-Software,Antizipation
Die Reanimation des CO2-Gesetzes hat begonnen,Antizipation
Die Reanimation des CO2-Gesetzes hat begonnen,Vertrauen
Überwachung mit Staatstrojaner kommt Bund und Kantone teuer zu stehen,Antizipation
Hitzeperioden und schwindender Permafrost: Die Schweiz muss sich für den Klimawandel wappnen,Antizipation
Verwahrung verschärfen,Vertrauen
Wer hat Angst vor ihr?,Antizipation
"«Es rächt sich sofort, wenn man die Entwicklung verpasst»",Antizipation
Öffentlicher Verkehr will Energieverbrauch um 30 Prozent drosseln,Antizipation
Kein Ende der Negativzinsen,Angst
Diese Box wird sich selber reparieren,Freude
«Google hat uns fast gekillt»,Ärger
Wie sicher ist die Gesichtserkennung des iPhone X?,Vertrauen
IS-Rekruten haben keine Ahnung vom Islam,Überraschung
IS-Rekruten haben keine Ahnung vom Islam,Antizipation
Ehre für die «Deep Learning Mafia»,Antizipation
«In einer gleichberechtigten Gesellschaft hat Prostitution keinen Platz»,Keine
Bund senkt Medikamentenpreise um 60 Millionen Franken,Überraschung
Gegenüber autonomen Autos herrschen in der Schweiz diffuse Ängste,Antizipation
Gegenüber autonomen Autos herrschen in der Schweiz diffuse Ängste,Freude
Auch in der Agglo läufts der SVP nicht mehr,Ärger
Auch in der Agglo läufts der SVP nicht mehr,Traurigkeit
Die stille Lobbyorganisation der Hochschulen,Vertrauen
Die Verwandlung der Utopie in Waffentechnologie,Antizipation
Die Verwandlung der Utopie in Waffentechnologie,Angst
Die EU droht mit Stillstand des Bilateralismus,Ärger
Die EU droht mit Stillstand des Bilateralismus,Antizipation
Forscher melden Rekordausstoss von Treibhausgasen im letzten Jahr,Angst
Angriff auf liberale Werte,Ärger
Angriff auf liberale Werte,Antizipation
Angriff auf liberale Werte,Angst
Belgien will Abtreibungen liberalisieren,Überraschung
Belgien will Abtreibungen liberalisieren,Ärger
Polizei räumt Gefängnisdach nach Blutbad mit 26 Toten in Brasilien,Antizipation
Polizei räumt Gefängnisdach nach Blutbad mit 26 Toten in Brasilien,Angst
Die Angst vor dem Islam,Antizipation
Die Angst vor dem Islam,Angst
Wird auch Thomas N. nicht verwahrt?,Ärger
Pilotversuch mit selbstfahrenden Elektro-Fernbussen in Nevada,Antizipation
Tech-Giganten gleichen Dinosauriern,Antizipation
Wien schützt sich selbst,Ärger
Wien schützt sich selbst,Antizipation
Prekäre Altersvorsorge – ein höheres Rentenalter ist nicht länger tabu,Freude
Prekäre Altersvorsorge – ein höheres Rentenalter ist nicht länger tabu,Vertrauen
Ist Staatsverschuldung eine Frage der Staatsräson oder das Ergebnis von Verteilungskonflikten?,Unklar
Schärfere Regulierungen für Prostitution in Deutschland,Vertrauen
Ab Herbst führt der Flughafen Zürich Gesichtserkennung ein,Überraschung
Ab Herbst führt der Flughafen Zürich Gesichtserkennung ein,Antizipation
Kita-Beschäftigte weiten Streik auf ganz Deutschland aus,Antizipation
