emotion_en,sentence_en,emotion_de,sentence_de
hate,@AHisme  it sucks big time. I am in Sheffield till Sunday. I don't think I can pretend to be happy and smiley anymore.,Ekel,"@Ahisme Es ist eine große Zeit.Ich bin bis Sonntag in Sheffield.Ich glaube nicht, dass ich so tun kann, als wäre ich mehr glücklich und smiley."
happiness,Is dreading going to work  BUT....its friiiiiday!! whoop!!!,Freude,"Fürchtet, dass er zur Arbeit geht, aber ... es ist friiiiiday !!Whoop !!!"
worry,@Audioprincess  Ah bad times   I hate exams. I feel so unprepared this time as well. Sucks haha.,Angst,@Audioprincess ah schlechte Zeiten Ich hasse Prüfungen.Diesmal fühle ich mich auch so unvorbereitet.Saugt haha.
love,@BluJazmin21 I'm sure its very cute.,Vertrauen,"@Blujazmin21 Ich bin sicher, es ist sehr süß."
neutral,@Tittch Just file me under *seduced* sweetie...,Unklar,@Tittch file mich einfach unter * verführt * Süße ...
neutral,I learned the Hoedown Throwdown!,Unklar,Ich habe den Hoedown Throwdown gelernt!
neutral,Yah me too,Unklar,Yah ich auch
worry,Theres a fricken prisnor trans outside r hotel!  3/10 so far,Angst,Es gibt einen verdammten Prisnor Trans Outside R Hotel!3/10 bisher
love,"Okay, seriously. you're all going to have to forgive me while I gush like a little fangirl for a few tweets",Vertrauen,"Okay, im Ernst.Sie müssen mir alle vergeben, während ich für ein paar Tweets wie ein kleines Fangirl -"
surprise,@jonasbrothers http://twitpic.com/3bnas - Can't wait to actually hear what he's playing  love you Nick x,Überraschung,"@jonasbrothers http://twitpic.com/3BNAS - Ich kann es kaum erwarten, tatsächlich zu hören, was er spielt, Liebe dich Nick X."
sadness,@windycitypretty that is sickening... Just shoot at will? Smh... Prayers for his family...,Traurigkeit,"@WindyCitypretty, das ist krank, ... schießen Sie einfach nach Belieben?SMH ... Gebete für seine Familie ..."
surprise,I'm on Twitter now... how cool am I? and now let's go to McDo,Überraschung,Ich bin jetzt auf Twitter ... wie cool bin ich?Und jetzt gehen wir zu McDo
hate,@Yermilla really? bcoz i'm not good in math &amp; we r learning sumthing that we won't need  so thats why i don't like math &amp; my teacher is uh,Ekel,"@Yermilla wirklich?Bcoz Ich bin nicht gut in Math & amp;Wir lernen etwas, das wir nicht brauchen werden, deshalb mag ich Mathematik und Amp nicht.Mein Lehrer ist uh"
neutral,HAPPY MOTHER DAY JANEY! EVEN THOUGH IDK IF YOUR A MOMMY!,Unklar,"Glücklicher Muttertag Janey!Obwohl IDK, wenn du eine Mama bist!"
neutral,IDIOTat)tove_liden Th*nks for the follow Tove!  (ddoodm) #IDIOT,Unklar,Idiotat) tve_liden th*nks für den folgenden tve!(Ddoodm) #idiot
worry,Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh.,Angst,Im schrecklichen Verkehr auf dem Weg zur Hochzeit steckt.Die Zeremonie soll jetzt beginnen.Ughhh.
neutral,"Currently 52ï¿½ in Msla, not a cloud in the sky, no humidity, gonna get into the 80s today, and I'm...working.",Unklar,"Derzeit 52 betragte MSLA, keine Wolke am Himmel, keine Luftfeuchtigkeit, wird heute in die 80er Jahre gelangen, und ich arbeite ... ich arbeite."
worry,is so sorry for letting her down,Angst,"Es tut so leid, dass ich sie im Stich gelassen habe"
worry,"@cArtPhotography Hey, it was a GORGEOUS, day (and night) here, too.  Played in the sun then a full moon lit my way home.    Life is good.",Angst,"@cartphotography hey, es war auch hier ein wunderschöner Tag (und eine Nacht).Spielte in der Sonne, dann zündete sich ein Vollmond nach Hause.Das leben ist gut."
love,Watching my fav movie...Two Can Play That Game! &quot;Ever notice how men start to act up around Spring time?&quot; Shante Smith,Vertrauen,"Ich schaue meinen Lieblingsfilm an ... zwei können dieses Spiel spielen!""Shante Smith"
surprise,forgot she had a Twitter account.    Happy Mother's Day!,Überraschung,"Ich habe vergessen, dass sie einen Twitter -Account hatte.Schönen Muttertag!"
happiness,@Adam__Carter Good film,Freude,@Adam__carter guter Film
happiness,time for mimi's,Freude,Zeit für Mimi's
surprise,@spicesierra sorry to hear that,Überraschung,"@spicesierra tut mir leid, das zu hören"
neutral,"Well, for java atleast  Im still working on my php solution",Unklar,"Nun, für Java arbeite ich zumindest immer noch an meiner PHP -Lösung"
neutral,@whatthelillyyo we just missd each otha again! I was at disney all day YESTERday!,Unklar,@Whatthelillyyo Wir haben uns einfach wieder vermisst!Ich war gestern den ganzen Tag bei Disney!
enthusiasm,im still waitin for my girl to come home...i wanna go shopping,Antizipation,"Ich warte immer noch darauf, dass mein Mädchen nach Hause kommt ... Ich möchte einkaufen gehen"
neutral,@Labrys67 Nope  Neither of our ladies are on today.,Unklar,"@Labrys67 Nein, keiner unserer Damen ist heute an."
happiness,"Ha, sure  hey, text me normal. 512 718 4879",Freude,"Ha, sicher hey, schreibe mir normal.512 718 4879"
sadness,god it pisses me off that i always enter comps &amp; never win.I am such a sore loser,Traurigkeit,"Gott, es verärgert mich, dass ich immer Comps & amp betrete;Niemals gewinnen. Ich bin so ein schmerzender Verlierer"
happiness,@JackAllTimeLow it was fun anyway..thanks for taking pics with us last minute,Freude,"@JackAlltimelow Es hat sowieso Spaß gemacht ... danke, dass du in letzter Minute Bilder mit uns gemacht hast"
worry,@misamille Where are u  miss you I hope you are doing well *sending big hugs*,Angst,"@missamille Wo bist du, du vermisst dich? Ich hoffe es geht dir gut *sende große Umarmungen *"
neutral,i want a dog...,Unklar,ich will einen Hund...
love,Undervote is just going on  I'm all overalled up,Vertrauen,Die Unterzahlung geht gerade weiter. Ich bin alle ausgedeutet
hate,"Just got woken up by my mom... Our ENTIRE first floor is flooded. All our furniture, curtains, moms expensive rugs.... Soaked and ruined",Ekel,"Ich wurde gerade von meiner Mutter geweckt ... unser gesamtes erste Stock ist überflutet.Alle unsere Möbel, Vorhänge, Mütter teure Teppiche ... durchnässt und ruiniert"
neutral,@dhewlett Stress test: http://www.selfhelpmagazine.com/psychtoons/glasbergen/StressManagement/StressTest.gif  Good luck!,Unklar,@dhewlett Stresstest: http://www.elfelpmagazine.com/psychoons/glasbergen/stressmanagement/stresstest.gif Viel Glück!
love,Tabu. How ive missed you,Vertrauen,Tabu.Wie ich dich vermisst habe
sadness,I am watching &quot;28 Weeks Later.&quot; Not as good at Days.,Traurigkeit,"Ich schaue ""28 Wochen später"".Nicht so gut in Tagen."
worry,@Echarlotte hi on twitter!!!LOL..i don't use it very much. its confusing sometimes. but yay!!!7 more days bubble!!!eeek  xx,Angst,@Echarlotte Hallo auf Twitter !!! lol ... ich benutze es nicht sehr.Es ist manchmal verwirrend.Aber yay !!! 7 weitere Tage Blase !!! eeek xx
anger,at famous dave's with my mom. so hungry.,Ärger,bei Famous Dave's mit meiner Mutter.so hungrig.
surprise,"@natalienanci and i are desperately seeking @anberlin tickets for tonight, &amp; don't understand why cruel people are selling them for $200+",Überraschung,"@natalienanci und ich suchen verzweifelt @anberlin Tickets für heute Abend, & amp;Verstehe nicht, warum grausame Leute sie für 200 Dollar verkaufen"
worry,@PotterEntourage I hope your mom is ok?,Angst,@Potterentourage Ich hoffe deine Mutter geht es gut?
hate,someone WOULD give a speech about loved ones in the hospital. Stupid COMM class,Ekel,Jemand würde eine Rede über Angehörige im Krankenhaus halten.Dumme Comm -Klasse
happiness,At walmart playing hide and seek.,Freude,Bei Walmart spielen Versteck.
surprise,@dravenxiv Oh no! Hope you find your voice soon,Überraschung,"@DRavenxiv Oh nein!Ich hoffe, Sie finden Ihre Stimme bald"
worry,my tummy hurts,Angst,mein Bauch tut weh
neutral,@TaraCherish i guess it wasnt meant to be..,Unklar,"@Taracherish Ich denke, es sollte nicht sein .."
sadness,Wish I was at sri panwa now,Traurigkeit,"Ich wünschte, ich wäre jetzt bei Sri Panwa"
neutral,@Beangirl Pad Thai is my favourite,Unklar,@BeAngirl Pad Thai ist mein Favorit
happiness,Licking chocolate crumbs off a Twirl wrapper like Zammo on smack,Freude,Schokoladenkrumen von einer Twirl -Wrapper wie Zammo auf Smack lecken
surprise,"@taylorswift13 Hello there, Taylor  I MISS YOU. Its been 2 months &lt;/3",Überraschung,"@Taylorswift13 Hallo, Taylor, ich vermisse dich.Es ist 2 Monate her & lt;/3"
worry,won't be going to the Oxford Internet Institute Sunner Doctoral Programme in Brisbane: lack of funding,Angst,Gehen Sie nicht zum Sommer -Doktorandenprogramm Oxford Internet Institute in Brisbane: Mangel an Finanzmitteln
neutral,"@miayuthao: You must rest, don't work hard  How abt Cr-chan ?",Unklar,"@miayuthao: Du musst dich ausruhen, nicht hart arbeiten, wie Abt Cr-chan?"
