emotion_en,sentence_en,emotion_de,sentence_de
neutral,@TerriCook  oh hi terri good now what about you? any good gossip,Unklar,
sadness,RIP to officer Edwards. May GOD continue to bless his family. What's up wit cops killing cops. Seen the same thing happen on &quot;The WIRE&quot;.,Traurigkeit,
happiness,Happy Mothers Day,Freude,
hate,"@snowgirlsungirl I am sure every office has them. Men and women with no capacity to realize they should SHUT THE UNHOLY FUCK UP, Christ",Ekel,
hate,feels so used I hate guys grrrr,Ekel,
happiness,@taylorswift13 I created my account just to get a chance to chat with you (: I ADMIRE YOU! you're amazing! you inspire me to write  &lt;3,Freude,
worry,Complicated with a dream,Angst,
love,wishes Happy Mother's Day!,Vertrauen,
surprise,"@esmebella Kk, I just had 888 followers like a minute ago",Überraschung,
sadness,Left Cali this morning...in Dallas now..missing my car SO MUCH!!!,Traurigkeit,
sadness,"@dragonblogger My pleasure  I really enjoy your random word poetry, and am disappointed when I miss out on participating!",Traurigkeit,
neutral,hmmmm.... i wonder how she my number @-),Unklar,
neutral,Watching ET today!  &lt;3 Supposed to have a clip from New Moon  Hating Drag Me To Hell,Unklar,
neutral,@whyinthehell Yoko Ono - Ben Lee  - ? http://lala.com/zAd It's easy.,Unklar,
happiness,is really really ready!,Freude,
worry,My shirt is a fuzz magnet today and I feel totally uncomfortable,Angst,
happiness,@starangel82 @darkheath @140lover Everyone's going to think I'm a gold digger  Hahahaha,Freude,
worry,@fortrel The newest versions are not any better,Angst,
neutral,and now! ITS #starwarsday!!!! To celebrate i should watch some star wars  - Richard,Unklar,
worry,@dpressman well well...so sorry! let's dance  it's fabulous hobby,Angst,
worry,my tummy hurts  i blame last night's chinese food.,Angst,
neutral,@nmyster Thought you might be interested in @TweetPhoto http://tweetphoto.com. See who's viewing your photos!,Unklar,
neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week,Unklar,
neutral,Yes man was good,Unklar,
neutral,everyone should listen to Hadouken. they're fun,Unklar,
love,"@BenPlouviez Lol - we're like polar opposites, Ben! Maybe that's why we get on so well",Vertrauen,
sadness,Low profile tires suck! They won't have my size in until monday,Traurigkeit,
neutral,@toreo that's cuz you're cruising the twitter #nightshift now,Unklar,
neutral,@stephbfly Truly? Like what?,Unklar,
hate,Hates that my a.c doesn't work! Its so hot,Ekel,
sadness,Sulking at home while it rained was poor strategy.  Now i'm watching the sun shine from a desk in the Robarts reference room.,Traurigkeit,
worry,Fuccin bacc hurts now. Just dragged the long blocc on a piece of wood. From the corner to in my garage.,Angst,
surprise,Oh no!  Nighty night.,Überraschung,
sadness,"Ben &amp; Jerry's fail. Got email for free ice cream. Says click here to redeem coupon. When I click, I get error message  @cherrygarcia",Traurigkeit,
neutral,"@HelenWraight i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style",Unklar,
neutral,@Jayme1988 not really sure. need to deposit and save some money,Unklar,
worry,"#Ferber As happens every few days, Rohan woke up unhappy at midnight.  The good/bad news is that I was still awake, due to afternoon nap",Angst,
worry,Probably because it wasnt a command...bet you dont understand pay out on fantasy football either  ..droids   Look out for @eCouchCoach,Angst,
worry,You guys dont get too drunk without me,Angst,
love,"Happy Mother's Day to all the amazing women who put up with us crazy, demanding children. Thank you.  Very very much.",Vertrauen,
worry,"@ceichstaedt I guess it'll work under fusion. Otherwise you'll have to boot directly to Vista just to do some online banking, which sucks",Angst,
happiness,Clive it's my birthday pat me  http://apps.facebook.com/dogbook/profile/view/6386106,Freude,
sadness,@misssammibaby why are you sad?,Traurigkeit,
hate,Windows updates suck. There are so freaking many of them.,Ekel,
neutral,"I left a chocolate egg sitting in my office, and now it's calling my name......................",Unklar,
worry,Haven't eaten all day  I need food...,Angst,
hate,how to get rid of your followers step 1: announce that you're unfollowing people who give you the shits... everyone assumes you mean THEM,Ekel,
love,Thank you all once more for all your lovely birthday messages,Vertrauen,
neutral,3/4 through project car 1.,Unklar,
sadness,@joycewaddle like almost above my sholders,Traurigkeit,
sadness,@kurtismarsh Too far to go unless the prize is in the millions.  We know who wins,Traurigkeit,
love,@unknownnunes Goodmorning to you!Thank you so much for being so kind? The sun is out and I'm going to paint outside,Vertrauen,
love,@keithbrooks Glad to see you're still around,Vertrauen,
worry,Sunburn ouch,Angst,
neutral,I hit up that special and ordered a sound bar from woot.com.,Unklar,
enthusiasm,Ar work bored...hope Tiff gets here soon then the fun can start,Antizipation,
worry,A year from now is graduation....i am pretty sure i'm not ready for it!?!?!?,Angst,
worry,yeah its Friday! I thought my sis was coming into town turns out she is not!!  so sad! i miss my babies!!!,Angst,
sadness,@xxxmaggie oh that sucks  I'm sorry.,Traurigkeit,
neutral,"@BastetAsshur  trying tweetdeck, have seen, you are twittering with that programme, so I thought, I should give it a try",Unklar,
worry,@noisemaker_ aww thats too bad you lost it though,Angst,
happiness,@m1dnightc1ty I do too!! Sounds interesting,Freude,
worry,walking past the school i went to junior high in as it's being torn down,Angst,
worry,"@misspostit Na, ya ando pelon",Angst,
neutral,Need a nap  but I have to take 4 trains now,Unklar,
neutral,"alright, back from my twitter decompression  Happy monday folks, what's the good word?",Unklar,
worry,@michau Sounds like a good five days,Angst,
sadness,@chocolovere i feel the same way every day,Traurigkeit,
neutral,Going to bed now...good night tweeters,Unklar,
sadness,"Spyed Princess Anne today, and listented to all my friends cooking up the perfect evening, Working sucks for me and OB ?",Traurigkeit,
worry,"uff - hard to get going today, up half the night with 6 year old son",Angst,
neutral,"@shbbll Video a challenge when shot in not-so-scenic conference room with no mic, but thank you  Loved your Grant Park house &amp; DOGS!!!",Unklar,
neutral,@krissysalisbury don't ask  Hoping that today will be an improvment on the rest of the week. Looking forward to the weekend weather!,Unklar,
neutral,my portfolio v2 uploaded! any comments and feedback are warmly welcomed!  http://www.maxiin.net/,Unklar,
neutral,"No more pizza for Jamie? wtg  http://bit.ly/DVSCA (Britains got talent, sure has.)",Unklar,
neutral,Cats: unimpressed by thunderstorm. Dog: wishes @dataangel would come home,Unklar,
neutral,Wish I lived in or atleast relatively close to Ohio!   Haven't seen @SmallTown_Troy or @Derk_McLoven in almost a year.,Unklar,
worry,@solangeknowles And that's what makes you an amAzing MOTHER  HAPPY MOTHERS DAY SOLO!! LUV YA!!,Angst,
worry,Watching 5 children and it.  i really should be studying. I'll start soon :[,Angst,
neutral,@Jacket_Slut I'm leaving at half 10  but I have to get ready and things,Unklar,
worry,"presentations done, project done, 1 exam done, 3 exams to go!!! I turn 21 this Friday!",Angst,
love,@cecewhi92 That is one of my Favorite EVER!!!! He is THE BEST!! No doubt! I am so glad you like him too! XOXO,Vertrauen,
surprise,Was about to head downtown...now there's a flash flood!  - Photo: http://bkite.com/07XFs,Überraschung,
neutral,@hannahdevonne Follow both because I don't know which one will send it. PS Dont get your hopes up because she may not sen it,Unklar,
sadness,"hey everyone, whats up? i got another hour and a half of work so tell me something you think i wouldnt know....this should be a good one",Traurigkeit,
sadness,"pff, Life sucks sometimes!",Traurigkeit,
love,@therealsavannah Today was fun  &lt;333,Vertrauen,
hate,@AHisme  it sucks big time. I am in Sheffield till Sunday. I don't think I can pretend to be happy and smiley anymore.,Ekel,
happiness,Is dreading going to work  BUT....its friiiiiday!! whoop!!!,Freude,
worry,@Audioprincess  Ah bad times   I hate exams. I feel so unprepared this time as well. Sucks haha.,Angst,
love,@BluJazmin21 I'm sure its very cute.,Vertrauen,
neutral,@Tittch Just file me under *seduced* sweetie...,Unklar,
neutral,I learned the Hoedown Throwdown!,Unklar,
neutral,Yah me too,Unklar,
worry,Theres a fricken prisnor trans outside r hotel!  3/10 so far,Angst,
love,"Okay, seriously. you're all going to have to forgive me while I gush like a little fangirl for a few tweets",Vertrauen,
surprise,@jonasbrothers http://twitpic.com/3bnas - Can't wait to actually hear what he's playing  love you Nick x,Überraschung,
sadness,@windycitypretty that is sickening... Just shoot at will? Smh... Prayers for his family...,Traurigkeit,
surprise,I'm on Twitter now... how cool am I? and now let's go to McDo,Überraschung,
hate,@Yermilla really? bcoz i'm not good in math &amp; we r learning sumthing that we won't need  so thats why i don't like math &amp; my teacher is uh,Ekel,
neutral,HAPPY MOTHER DAY JANEY! EVEN THOUGH IDK IF YOUR A MOMMY!,Unklar,
neutral,IDIOTat)tove_liden Th*nks for the follow Tove!  (ddoodm) #IDIOT,Unklar,
worry,Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh.,Angst,
neutral,"Currently 52ï¿½ in Msla, not a cloud in the sky, no humidity, gonna get into the 80s today, and I'm...working.",Unklar,
worry,is so sorry for letting her down,Angst,
worry,"@cArtPhotography Hey, it was a GORGEOUS, day (and night) here, too.  Played in the sun then a full moon lit my way home.    Life is good.",Angst,
love,Watching my fav movie...Two Can Play That Game! &quot;Ever notice how men start to act up around Spring time?&quot; Shante Smith,Vertrauen,
surprise,forgot she had a Twitter account.    Happy Mother's Day!,Überraschung,
happiness,@Adam__Carter Good film,Freude,
happiness,time for mimi's,Freude,
surprise,@spicesierra sorry to hear that,Überraschung,
neutral,"Well, for java atleast  Im still working on my php solution",Unklar,
neutral,@whatthelillyyo we just missd each otha again! I was at disney all day YESTERday!,Unklar,
enthusiasm,im still waitin for my girl to come home...i wanna go shopping,Antizipation,
neutral,@Labrys67 Nope  Neither of our ladies are on today.,Unklar,
happiness,"Ha, sure  hey, text me normal. 512 718 4879",Freude,
sadness,god it pisses me off that i always enter comps &amp; never win.I am such a sore loser,Traurigkeit,
happiness,@JackAllTimeLow it was fun anyway..thanks for taking pics with us last minute,Freude,
worry,@misamille Where are u  miss you I hope you are doing well *sending big hugs*,Angst,
neutral,i want a dog...,Unklar,
love,Undervote is just going on  I'm all overalled up,Vertrauen,
hate,"Just got woken up by my mom... Our ENTIRE first floor is flooded. All our furniture, curtains, moms expensive rugs.... Soaked and ruined",Ekel,
neutral,@dhewlett Stress test: http://www.selfhelpmagazine.com/psychtoons/glasbergen/StressManagement/StressTest.gif  Good luck!,Unklar,
love,Tabu. How ive missed you,Vertrauen,
sadness,I am watching &quot;28 Weeks Later.&quot; Not as good at Days.,Traurigkeit,
worry,@Echarlotte hi on twitter!!!LOL..i don't use it very much. its confusing sometimes. but yay!!!7 more days bubble!!!eeek  xx,Angst,
anger,at famous dave's with my mom. so hungry.,Ärger,
surprise,"@natalienanci and i are desperately seeking @anberlin tickets for tonight, &amp; don't understand why cruel people are selling them for $200+",Überraschung,
worry,@PotterEntourage I hope your mom is ok?,Angst,
hate,someone WOULD give a speech about loved ones in the hospital. Stupid COMM class,Ekel,
happiness,At walmart playing hide and seek.,Freude,
surprise,@dravenxiv Oh no! Hope you find your voice soon,Überraschung,
worry,my tummy hurts,Angst,
neutral,@TaraCherish i guess it wasnt meant to be..,Unklar,
sadness,Wish I was at sri panwa now,Traurigkeit,
neutral,@Beangirl Pad Thai is my favourite,Unklar,
happiness,Licking chocolate crumbs off a Twirl wrapper like Zammo on smack,Freude,
surprise,"@taylorswift13 Hello there, Taylor  I MISS YOU. Its been 2 months &lt;/3",Überraschung,
worry,won't be going to the Oxford Internet Institute Sunner Doctoral Programme in Brisbane: lack of funding,Angst,
neutral,"@miayuthao: You must rest, don't work hard  How abt Cr-chan ?",Unklar,
love,made this for you when i got home from wango tango http://bit.ly/1UjzQ    what a wonderful day.,Vertrauen,
neutral,i am on aim getting ready to go to bed. running a 5k tommorow for mothers day. wish me luck!,Unklar,
neutral,@kennywormald ohh I was so confused!:p I haven't seen it. It's your favourite?,Unklar,
sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,Traurigkeit,
worry,@ladybee_5652 ... =D ok wassup,Angst,
love,is Happy Mothers Day.   Taking Mum out for dinner to one of my favourite restaurants down Glenelg now,Vertrauen,
happiness,@scattyjan All the best with the Cup Final today. Have fun,Freude,
enthusiasm,"So, I need to make a lot of money tomorrow",Antizipation,
worry,"Welcome @MarcCall !!! Let me suggest to you @fakejohnpiper and @fakepastormark. You'll love 'em! In other news, my algae fish died today",Angst,
neutral,"Good afternoon all. Sorted technical glitch. A rainy BH monday so a lazy day, then daughters and their menfolk round for a roast dinner",Unklar,
neutral,2nd to last episode of jay leno  itll never be the same!  nite twitter,Unklar,
love,@iamkryssa twitter does not suck missy love you,Vertrauen,
hate,The weather is gross outside. It puts me in a bad mood.,Ekel,
neutral,@Mitry909 no Belgian an not a record collector,Unklar,
worry,"honestly, why did the folks at Microsoft do MS Word 2007 to me?  I can't believe I just spent 10 minutes finding auto correct options",Angst,
neutral,need a lots of moneeeeeeeeeeeeeeeey,Unklar,
sadness,@austincarlile I'm sad.  I want to go to the sd zoo. say hi to the giraffes and elephants and polar bears for me!,Traurigkeit,
neutral,"Thank goodness for starbucks iced coffee...I was feeling so sluggish today, I think its this awful LA weather",Unklar,
neutral,Making an iMovie of college,Unklar,
worry,"@JodiOKeefee what on earth happened to wentworth's page?!? i'm devastated, as i'm sure ALL of his fans are!",Angst,
happiness,@ebassman I just got two tickets one for speeding and one for tinted windows,Freude,
sadness,@LiveFreeT  awww that's sad...,Traurigkeit,
hate,I'm so very tired...and have insomnia.,Ekel,
neutral,"@philiplinden @secondlife Blake Sea should have been a water sandbox (a la Cordova), but we can't rez objects and autoreturn is 5 mins",Unklar,
happiness,Smith/Amherst mini-reunion last night was fun- how i miss the old days,Freude,
worry,Just passed a wrecked car  hoping everyone got out OK. Finally picking up speed. Should have been in B'mpre by now.,Angst,
sadness,@dsml dont depress me  I have the mother-in-law staying the weekend. Someone else to wait on other than the kids!,Traurigkeit,
sadness,Big Sad Face   Bing doesn't work on iPhone.  It just takes you to the regular mobile Live search.,Traurigkeit,
worry,soo fucking stressed out...I think I could possibly lose it,Angst,
happiness,@taylorswift13 oh great!  hope you'll have a blast there! ;),Freude,
happiness,"@Sanazypoo OMG!! Hahaha! I thought you were joking about Twittering that, hahaha!! Awesome, good times were had by all",Freude,
worry,"@xolotl ohhh ok. so like, it's more frustrating? I had my hands on a 3g iphone last week but it was upgraded so i couldn't unlock it",Angst,
love,Today is a tuff day...g'morning,Vertrauen,
love,I completely forgot it was mothersday today.. Lol  Happy mothersday to all of you beautiful mums out there!,Vertrauen,
happiness,@UncleRUSH Good morning to you. Hope you have a nice productive day,Freude,
neutral,@brittany_shaw night babe,Unklar,
surprise,I still smell of smoke  #kitchenfire,Überraschung,
sadness,@webaggression I can only promise about 150 or so.,Traurigkeit,
happiness,a sunny day brights up the day!,Freude,
worry,http://twitpic.com/66xjl - An hour in the sun turned me into a blancmange. Sucks to be pale,Angst,
neutral,Deucie picked up by his sitter for the weekend.,Unklar,
sadness,I'm up way to early today!  Work later.,Traurigkeit,
neutral,*yawn* i think imma go to bed. night guys,Unklar,
worry,@gail_collins I'm not sure I understand how this twitter thing works...,Angst,
surprise,endless streams of tea~~~~... it's a holiday day here... how do I know? it's raining,Überraschung,
worry,"@riskybizness23 sooo, u just gon cheat on me and tell everybody on twitter? I don't know if I can trust you anymore.     j/k",Angst,
neutral,happy mothers day... *i love you mom...*,Unklar,
worry,"Just found about ten typos in one story in the Plain Dealer, including one run on sentence. It happens more and more these days",Angst,
worry,@Caius the gloss screen on my macbook would probably rule me out,Angst,
neutral,http://twitpic.com/6698b - Clean,Unklar,
neutral,pink bubble baths and champs,Unklar,
worry,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,Angst,
neutral,Ugh cramps  and it's hot,Unklar,
happiness,"@taylorswift13 woah that's cool  just landed in London about 2 and1/2 hours ago.I LOVE the scenery, beautiful ,",Freude,
worry,Bought it.  Now I have to wait 2-3 weeks.   Boo.,Angst,
sadness,@CaptainFlashman  Oh no - Poor you!!,Traurigkeit,
love,@fancyfantastic you know I love you.,Vertrauen,
neutral,@ethyl_deadgirl :hard stare:,Unklar,
neutral,@Jeewilikers...you should call school and tell them you have swine flu so we can have the day off,Unklar,
neutral,@cassiekitsch Okay. So Rose told me your phone was shut off and you might be moving back to Spokane? What is going on?,Unklar,
neutral,"looking for my dog, she escaped",Unklar,
love,@JohnLloydTaylor aw.  I'm glad you do. Where would we be with out one?,Vertrauen,
worry,hanging out with my babyy,Angst,
worry,@Erock2106 yeah! but too late  lol,Angst,
sadness,"@cindyefolson the signal that makes your internet &quot;go&quot; is pretty bad  getting a tech out will get that fixed up, though!",Traurigkeit,
surprise,"@Tina_Marie_2009 Glad to hear you're quitting. I hope it works out! Also, thanks for the sweet mother's day card. Made me smile.",Überraschung,
sadness,@FreyaLynn lol seriously.  fail. ::sigh::,Traurigkeit,
sadness,@getape I had bad net issues on Weds so couldn't broadcast  Am on tonight tho... tune in for new anthems and bad mixing!,Traurigkeit,
sadness,@jennwadsworth So sad that schools have to close.,Traurigkeit,
sadness,can't go to the movies today,Traurigkeit,
worry,@MacQuid Soetimes I envy those who have spent their whole lives in one place and have deep roots... the grass on the other side syndrome!,Angst,
love,Happy Mother's Day to all mothers,Vertrauen,
worry,@Rooks_ nooo  no roo crying. but omg i wanted to slap her. she was singing fine then from out of nowhere- BOOHOOOOOOOOOOO,Angst,
love,@Crazy_Cindy  BIG HUGGS,Vertrauen,
happiness,@mahnameisjerik0 THANK YOU,Freude,
worry,"I got battery acid in an open wound on my index finger  Fuck, it burned so much.",Angst,
enthusiasm,"April showers bring May flowers, yea",Antizipation,
neutral,"talkshow with Larry, then Cage?",Unklar,
neutral,@chocoluvalm i'm trying to figure that out right now,Unklar,
neutral,@bigeyedfishie Good news about the tooth!,Unklar,
love,"@jenstier Ooooh, that's very pretty Jen! I'm sure she'll love it!",Vertrauen,
neutral,@nkangel74 Just ignore it.....and get sum rest...get rid of that headache,Unklar,
sadness,Sad that I won't see Deb for two days.,Traurigkeit,
sadness,@marvelvscapcom doesnt work already,Traurigkeit,
surprise,@jury323 ommg gurll why aren't u going how sad,Überraschung,
worry,isnt going to the movies!! i got grounded,Angst,
sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.,Traurigkeit,
neutral,"Going to bed, night all",Unklar,
worry,Computer is packed away. There goes my life. Right into a cardboard box.,Angst,
neutral,@Geeblink A eu fiz de chocolate,Unklar,
worry,I cant afford life right now. Everything i want to do is too expensive,Angst,
worry,My throat hurts bad.  tonight is going to be fun.,Angst,
worry,I am up and feeling pretty damn gud! I dont even have a hangover what a nice feeling,Angst,
worry,so sad i wont b able to go to the eugenia kim sample sale in ny. womp womp.,Angst,
surprise,i messed up my back/hip. it hurts so bad,Überraschung,
neutral,is taking Ethan and Ryder to playgroup this morning,Unklar,
happiness,"@HairBoutique Thanks, btw which men's hairstyles are in right now? I'm growing my hair long  anyway hope you are having a good weekend!",Freude,
sadness,I forget how much I miss my tribe til I have limited access to talking to them. Spotty internet in the country so I won't be here long.,Traurigkeit,
love,Happy Mother's Day to all the Mommiessss,Vertrauen,
happiness,@DonyaMaries oh absolutely!  I cant wait for the lettuces to come up.,Freude,
happiness,It's the start of a new week with tons of new photos to take and edit  Yay!!,Freude,
worry,"Just spoke to Keith Urban's record company, we can't get him on the show till we're back from holidays  sorry Jack, we're trying mate!",Angst,
worry,Saw a black snake in the garden.  Went back for a picture and it was gone,Angst,
happiness,"@Nextread I agree, keep it in Star Trek but make it commercially viable! C'mon!",Freude,
love,Seeing lots of my FB friends are friending or becoming fans of Zoozoo (Voda's new face after the pug). Even iLike,Vertrauen,
worry,@Need4Sheed_com Ohhh got it. It's the 8830 I think  I miss the Pistons  I really hope Joe D cooks up something big!,Angst,
worry,OMG I'VE JUST SEEN WHAT HAPPENED TO HOLLIE! POOR ICKLE ONE,Angst,
neutral,@twistedraisin and movies too!!!,Unklar,
surprise,has just booked her appointment to give blood 18:20pm 2nd June! Scared,Überraschung,
neutral,@ClothCoutureLLC no problem.  i wasn't really sure what i was doing.  it was some application on the twibe page.,Unklar,
neutral,@jamesramya Yes because those taxes disguise the booking fees and commissions that online travel portals charge. Try iXiGO.com next time,Unklar,
hate,i hate the biatches of this world,Ekel,
neutral,@tarajean09 What's for dinner?,Unklar,
happiness,Good Morning everyone! Enjoy your day! Thinking of all my tweet friends,Freude,
sadness,I feel like my dream just got crushed,Traurigkeit,
neutral,@Ihnatko Huh. I'll have to try that (for no other reason then just to try it,Unklar,
love,Zzzz... I'm taking my mom out for breakfast tomorrow!  Shall be quite a treat.,Vertrauen,
neutral,@zhayrar Aw you are and you're welcome,Unklar,
worry,Greg back in the top 10. This is why I love Nascar.,Angst,
love,"Gotta get up early to spend some time with my mommy before I go to work, so I'm off to bed. Goodnight twitter",Vertrauen,
happiness,@Prince_Aries Me and that person have something in common then! LOL jk....,Freude,
happiness,Gorgeous day! Off to Hash around Waterley Bottom - wonderful name for a village! Quiz Mistressing at the Porto this evening,Freude,
neutral,@ggenung gables apartments has corporate and their nice.,Unklar,
love,@Brandiheyy have a Happy Trip!!,Vertrauen,
sadness,Somehow I have managed to sober up and now I remember how crap I felt pre drink,Traurigkeit,
worry,TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,Angst,
worry,"@deedz I totally agree. I just don't like it when everybody closes the windows in buses, trains etc. I'm afraid of getting diseases there",Angst,
neutral,Flypside - When it was good..i must creat my presentation in english  by guys ?,Unklar,
neutral,I'm still thinking ... Idk,Unklar,
worry,"@hjn119 you can crash, you will just have to drive alone  Besides... I can't crash, I gotta work! LOL ;)",Angst,
love,What a fun night,Vertrauen,
hate,This is getting on my nerves. I cant change my pic,Ekel,
neutral,@schittyw0k KILL IT JASMINE! Haven't talked to you for ages.,Unklar,
sadness,Where's  poss   i miss him,Traurigkeit,
worry,im such a sucker for great cottys,Angst,
sadness,@Cherryadestains It was blatently your fault for just shoving it in the bag when I said no  I felt that you had very much tricked me. xx,Traurigkeit,
sadness,"@aliceqfoodie Wow, you mom has a lot of energy. I'm getting tired just reading your tweet and ur living it.",Traurigkeit,
worry,"@AndreaKoeln awww, im so sorry hun  im sure she didn't do it on purpose though, she seems so sweet! Maybe it was a 24 hour thing? :s",Angst,
hate,@mitchelmusso so cool! if only i could call! my phone won't let me calll the number!,Ekel,
neutral,@Mollyschambrs woot!! you go girl,Unklar,
neutral,@H60DSTABOY yeeeeemp  same time like yesterday,Unklar,
worry,my pooooor baby (my dog chachi)  she had surgery todayyyyy,Angst,
happiness,@JoelMadden great song even if i can't understand lol,Freude,
worry,Cooking dinner!! Its already late!! am making Cabbage Molagootal for dinner!!,Angst,
neutral,Good night lovely people. Sleep well,Unklar,
surprise,getting rained out @ the devon horse show.  *head desk*,Überraschung,
worry,Just missed my train,Angst,
surprise,@szsz Wow- you are sharing some of my long list.,Überraschung,
love,@chicksnchickens and @momtv the Creative VADO's are out of stock at walmart.com (missed it)  but thanks for tweeting about it,Vertrauen,
worry,Working.  I can't wait till 4:30. Funeral on monday.,Angst,
surprise,where r all the 5am tweets from @oakleafchurch people...oh that's right...they opened the #houseofrock last night so they're still in bed,Überraschung,
neutral,@NoopDoggNatasha Fanbase is a code word for something very special to Anoop. Very personal..and special.,Unklar,
worry,@TechSmith whatever u want us to wear / stick / show off around DUMBO Brooklyn &amp; Manhattan,Angst,
sadness,"@n_dubbs curse you, igloo dwellers!!",Traurigkeit,
worry,Now I feel sick.,Angst,
love,@blasha do it and I'll give you the first hug,Vertrauen,
sadness,Driving to work running late like always..... No time for starbucks,Traurigkeit,
worry,"riding daddy's bike (yes a man's bike, very convenient! NOT) in the dark without glasses on. i was scared  but i survived HAHA",Angst,
happiness,@ztnewetnorb hha yeah  like they have your heart too but weve met shaun and bradie... it seems more real ;),Freude,
neutral,is on the phone,Unklar,
sadness,@agentwill I didn't want to tell you but I think it's your body odour,Traurigkeit,
neutral,@ericharr This definitely separates a professional robber &amp; from an amateur one!,Unklar,
worry,@fylaviedanat flo can spell antidisestablishmentarianism off the top of her head. wait i just did,Angst,
worry,asks: did anyone possibly get a photo of me receiving my diploma? Dad's camera died right at that moment.,Angst,
neutral,watching short stack tv,Unklar,
neutral,"@SamsaTSP  Nintendo is the cause, but no news when it's coming out",Unklar,
sadness,@Syreeta306 girl u sit ya double decker neck ass DOWN and talk about ppl who are on ur LEVEL and not above,Traurigkeit,
enthusiasm,"making more muffinsss, wheat jerm AANNNDD psyillium husk",Antizipation,
surprise,My #musicmonday offering: http://tinyurl.com/dg9ad5 Tony Christie feat. All Seeing I - Walk Like a Panther,Überraschung,
worry,gettin ready to put on a show  ugh i really hope ppl dont comee,Angst,
neutral,Watching Ripley's Believe it or Not while eating=bad choice,Unklar,
sadness,@jovenatheart you never follow me I sad  LOL,Traurigkeit,
sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,Traurigkeit,
neutral,@caitymarie I'm not off till 930,Unklar,
love,really hopes her car's illness is not terminal...,Vertrauen,
neutral,cotton candy milkshake,Unklar,
neutral,@CartoonBeardy ....welcome to public transport  X,Unklar,
neutral,@AffirmationSpot Around better..  How are you ?,Unklar,
neutral,brad we should be at Olympic village watching this. Season 1 with a 30 rack adult hood,Unklar,
hate,IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,Ekel,
worry,@penbleth Don't leave forever! We'll miss you too much,Angst,
happiness,I  have always been a sucker for the sound of an acoustic guitar!,Freude,
neutral,@Clubpenguinfan3 I guess that boner story isn't so funny I've had TONS of boner moments like that unfourtantly,Unklar,
worry,"Rain stopped a few minutes ago. I noticed that every time I cheer for the rain while it's raining, it stops. I shall not cheer next time.",Angst,
hate,Pissed at you @KatieHanrahan  http://myloc.me/21CU,Ekel,
worry,is going for morrisons breakfast with my boy today  wooooooooooo.,Angst,
worry,/me really sad that /me can't go to Java One,Angst,
