sentence_de,emotion_de,emotion_en,sentence_en
Ist der Autoroboter von Tesla eine Zeitbombe?,Antizipation,enthusiasm,Is Tesla's car robot a time bomb?
Schon heute sind in der Schweiz 64-Stunden-Wochen möglich,Ärger,anger,64-hour weeks are already possible in Switzerland today
"Was Kindertagesstätten unternehmen, um Missbrauch vorzubeugen",Unklar,neutral,What day care centers do to prevent abuse
«Kein endloser Goldrausch bei Bitcoin»,Unklar,neutral,"""No endless gold rush at Bitcoin"""
Der deutsche Gesundheitsminister blockiert die Sterbehilfe,Traurigkeit,sadness,The German Minister of Health blocks euthanasia
«20 Minuten» animiert Junge zum Austritt – die Kirche findet das gar nicht lustig,Unklar,neutral,“20 minutes” encourages Junge to leave - the church doesn't find it funny
Wie Google in China Geschäfte machen will,Antizipation,enthusiasm,How Google wants to do business in China
Bund soll die Schaffung von Krippenplätzen weiterhin fördern,Freude,happiness,BUND should continue to promote the creation of crèche places
Eine Europäische Union «en marche»?,Antizipation,enthusiasm,"A European Union ""en Marche""?"
Das Hochrisiko Männlichkeit,Antizipation,enthusiasm,The high risk of masculinity
Auch Islam-Kritik muss möglich sein,Ärger,anger,Islam criticism must also be possible
Maximilian Reimann fordert Schuldenbremse für die SRG!,Vertrauen,love,Maximilian Reimann demands debt brake for the SRG!
Über 140'000 Unterschriften für Konzernverantwortungsinitiative,Vertrauen,love,"Over 140,000 signatures for group responsibility initiative"
Huawei bringt ein bisschen Jungfraujoch in den Süden Chinas,Antizipation,enthusiasm,Huawei brings a little Jungfraujoch to the south of China
Vergewaltiger sollen auf jeden Fall hinter Gitter,Unklar,neutral,Rapeners should definitely be behind grids
Der IS hat den Islam entführt,Vertrauen,love,IS has kidnapped Islam
Überwachung mit Staatstrojaner kommt Bund und Kantone teuer zu stehen,Antizipation,enthusiasm,Monitoring with state trojan is expensive for the federal government and the cantons
Beim heimlichen Handy-Riesen,Antizipation,enthusiasm,At the secret cell phone giant
Im Europaparlament Einigkeit über Ausbau des Grenzschutzes,Ärger,anger,In the European Parliament unity to expand border protection
Eine Hymne an den Kanton Glarus,Vertrauen,love,A hymn to the canton of Glarus
Die Altersvorsorge ist weiterhin die grösste Sorge der Schweizer,Angst,worry,Pensions are still the greatest concern of the Swiss
Kirchen: Menschenrechte nicht kurzsichtiger Tagespolitik opfern,Unklar,neutral,Churches: sacrifices human rights not short -sighted daily policy
Umfrage: Schweizer halten Reform der Altersvorsorge für nötig,Überraschung,surprise,Survey: Swiss consider the reform of old -age provision for necessary
Glaubenslehren: Auch die Ordnung des Himmels ist nicht ewig,Unklar,neutral,Faith: the order of heaven is not eternal either
Stadt Zürich: Wieder Millionen im Plus – und wieder sollen die Steuern nicht sinken,Ärger,anger,City of Zurich: Millions again - and again the taxes should not decrease
Russlands Wiederwahl in UNO-Menschenrechtsrat gescheitert,Antizipation,enthusiasm,Russia's re-election in the UN Human Rights Council failed
Beben in China: Endloses Warten auf Hilfe,Ärger,anger,Communion in China: Endless waiting for help
Zahlungssystem und «Weltwährung» Libra: Mit verhindern und verbieten verpasst die EU die Zukunft,Unklar,neutral,Payment system and “world currency” Libra: The EU misses the future with preventing and banning the EU
«Für uns gibt es diese Ehe nicht»,Unklar,neutral,"""This marriage does not exist for us"""
Ford testet den Effekt selbstfahrender Autos mit getarntem Fahrer,Vertrauen,love,Ford tests the effect of self -driving cars with a camouflaged driver
Pokémon-Jagd auf dem Friedhof!,Überraschung,surprise,Pokémon hunt in the cemetery!
Bundesrat Berset blockiert Cannabis-Politik der Städte,Unklar,neutral,Federal Councilor Berset blocks cannabis policy of cities
Multikulti führt zu Abkapselung,Antizipation,enthusiasm,Multiculturalism leads to a capsule
In dieser Firma gibt es eine «Happiness-Managerin»,Freude,happiness,There is a “Happiness Manager” in this company
Staatsanwaltschaft fordert erneut lebenslange Verwahrung,Ekel,hate,Public prosecutor again demands lifelong custody
Menschenrechtsgruppen werfen griechischer Polizei Rassismus vor,Antizipation,enthusiasm,Human rights groups accuse Greek police racism
Wie funktioniert eine Suchmaschine?,Antizipation,enthusiasm,How does a search engine work?
Schweizer Selbstbestimmung: Die wichtigsten Fakten zu den internationalen Verträgen,Überraschung,surprise,Swiss self -determination: the most important facts about international contracts
Jäger sollen auf Wolf und Bär anlegen dürfen,Antizipation,enthusiasm,Hunters should be allowed to put on wolf and bear
Wird der Staat überflüssig?,Überraschung,surprise,Does the state become superfluous?
Zuwanderer gehen oft rasch in die Heimat zurück,Antizipation,enthusiasm,Immigrants often go back home quickly
Immer wieder hebt das Gericht lebenslange Verwahrungen auf,Ekel,hate,Again and again the court raises lifelong custody
Ein Werbeverbot zum Schutz parkierender Frauen,Antizipation,enthusiasm,An advertising ban on the protection of parking women
Bundesrat will Gebühren für Telefonüberwachung erhöhen,Antizipation,enthusiasm,Federal Council wants to increase fees for telephone surveillance
Hitzeperioden in Australien kommen früher als erwartet,Überraschung,surprise,Heat periods in Australia come earlier than expected
Kinderbetreuungsabzug light,Unklar,neutral,Childcare deduction light
«Sie können ungestraft töten»,Überraschung,surprise,"""You can kill unpunished"""
Aus ETH wird ITH!,Freude,happiness,ETH becomes it!
Willkommen auf dem Multikulti-Klo,Überraschung,surprise,Welcome to the multicultural toilet
«Warum braucht ein lebensmüder Mensch eine Lizenz zum Sterben?»,Antizipation,enthusiasm,"""Why does a life -tired person need a license to die?"""
Künstliche Intelligenz als Schmiermittel für die Suchmaschine,Antizipation,enthusiasm,Artificial intelligence as a lubricant for the search engine
Ein Ende der Dürre ist nicht absehbar,Antizipation,enthusiasm,An end to the drought is not foreseeable
Schweizer konsumieren pro Jahr 60 Tonnen Cannabis – doch die Politik träumt weiter von einer drogenfreien Welt,Antizipation,enthusiasm,Swiss consume 60 tons of cannabis a year - but politics continues to dream of a drug -free world
Das Parlament sagt Ja zu einem zweiwöchigen Vaterschaftsurlaub,Antizipation,enthusiasm,The parliament says yes to a two -week paternity vacation
Luxemburger wollen kein Ausländerwahlrecht,Antizipation,enthusiasm,Luxembourgers do not want the right to vote for foreigners
"Zwackt die Kita-Kette Globegarden ihren Mitarbeitenden gesetzeswidrig Geld ab? Nein, sagt ein Rechtsprofessor",Unklar,neutral,"Does the Globegarten daycare chain peel off your employees with illegal money?No, says a legal professor"
"Das CO2-Gesetz leistet einiges, doch nicht alles",Vertrauen,love,"The CO2 law does a lot, but not everything"
Was ist an einem Wein nicht vegan?,Unklar,neutral,What is not vegan about a wine?
"Ja zur «Ehe für alle», aber in Etappen",Freude,happiness,"Yes to the ""marriage for everyone"", but in stages"
Vegi-Burger im «Helvti Diner»: Mampfen und Mimikry,Unklar,neutral,Vegi burger in the “Helvti Diner”: Mampfen and Mimikry
Gemeinde stimmt Steuererhöhung zu,Ärger,anger,The municipality is right tax increase
Die Schweizer Banken warnen: Negativzinsen dürfen nicht zur «neuen Normalität» werden,Angst,worry,The Swiss banks warn: negative interest rates must not become “new normality”
Uno verabschiedet Resolution gegen sexuelle Belästigung und Gewalt,Ärger,anger,UN says goodbye to the resolution against sexual harassment and violence
Team Trek: Ein Dopingfall und viele Fragen,Unklar,neutral,Team Trek: A doping case and many questions
Tusk fordert von Deutschland mehr Einsatz bei der EU-Grenzsicherung,Vertrauen,love,Tusk calls for more commitment to EU border insurance from Germany
Knast-Wärterin wollte Ausbrecher als Killer anheuern,Angst,worry,Past attendant wanted to hire the outbreak as a killer
Autofahrer kann «Schuld» am Unfall nicht dem Fahrassistenten zuschieben,Antizipation,enthusiasm,Drivers cannot push the driving assistant to the accident on the accident
Diese Box wird sich selber reparieren,Freude,happiness,This box will repair yourself
Islam-Integration von Religionsrat gefordert,Vertrauen,love,Islam integration of Religious Council required
"Evidenzbasierter Rassismus – Algorithmen sind immer nur so schlau wie die Daten, auf denen sie beruhen",Unklar,neutral,Evidence -based racism - algorithms are only as smart as the data on which they are based
Laksmi Pamuntjak: Schreiben als Kampf gegen das eigene Stigma,Traurigkeit,sadness,Laksmi Pamuntjak: Writing as a fight against your own stigma
Die türkische Demokratie ist noch lange nicht tot,Vertrauen,love,Turkish democracy is far from dead
Auf dem Weg nach oben wird die Luft für Frauen dünn,Vertrauen,love,"On the way up, the air for women becomes thin"
Künstliche Intelligenz für Diagnosen in der Kindermedizin,Überraschung,surprise,Artificial intelligence for diagnoses in pediatric medicine
Die Immigration treibt Schwedens Sozialdemokraten nach rechts,Unklar,neutral,Immigration drives Sweden's Social Democrats to the right
Die mächtigste SVP aller Zeiten bringt wenig zustande,Antizipation,enthusiasm,The most powerful SVP ever brings little
Google drängt zurück nach China,Antizipation,enthusiasm,Google pushes back to China
Ständerat gegen längere Ladenöffnungszeiten,Ärger,anger,Council of States against longer shop opening times
Weniger Telefonüberwachungen im vergangenen Jahr,Antizipation,enthusiasm,Less telephone surveillance last year
Wie die Verschwörungstheorien um Jeffrey Epsteins Suizid entstanden sind,Ekel,hate,How the conspiracy theories around Jeffrey Epstein's suicide were created
Das bilaterale Tauwetter dauert an,Ärger,anger,The bilateral thaw lasts
Humanitäres Völkerrecht besser respektieren,Traurigkeit,sadness,Humanitarian international law better respect
Bundesrat lehnt Mindestlohn-Initiative ab,Unklar,neutral,Federal Council rejects minimum wage initiative
Google könnte Rekord-Busse erhalten,Ärger,anger,Google could receive record buses
Bundesrat drängt auf Reformen,Traurigkeit,sadness,Federal Council urges reforms
SVP: Konkordanz mit Wahl von Parmelin wiederhergestellt,Antizipation,enthusiasm,SVP: Concordance with choice of Parmelin restored
Wo in Europa Abtreibungen erlaubt sind und unter welchen Voraussetzungen,Überraschung,surprise,Where abortions are allowed in Europe and under what conditions
Venezuelas Regierung erhöht den Mindestlohn - neue Proteste geplant,Ärger,anger,Venezuela's government increases the minimum wage - new protests planned
Aus den Trümmern der Finanzkrise erhob sich der Bitcoin,Überraschung,surprise,The Bitcoin rose from the rubble of the financial crisis
"Kommt Froome davon, hat der Radsport einen Totalschaden!",Ärger,anger,"If Froome gets away, cycling has a total loss!"
Contra Geldspielgesetz: Ein gigantischer Schwarzmarkt,Überraschung,surprise,Contra Gaming Act: A gigantic black market
"Versicherungen zu vergleichen, lohnt sich",Unklar,neutral,Comparing insurance is worthwhile
Muslime wollen Kirchensteuern,Antizipation,enthusiasm,Muslims want church taxes
Der Online-Händler Amazon startet mit der Einführung eines Mindestlohns für seine Lagermitarbeiter eine Charmeoffensive,Antizipation,enthusiasm,The online retailer Amazon starts a charm offensive with the introduction of a minimum wage for its warehouses
"Du isst, was du bist",Antizipation,enthusiasm,You eat what you are
Der Schatten des Brexit lastet über der Schweiz,Überraschung,surprise,The shadow of Brexit is over Switzerland
Wie Konfessionslose und Muslime Millionen für die Kirchen zahlen,Antizipation,enthusiasm,How non -denominational and Muslims pay millions for the churches
Ein buntes Völkchen,Freude,happiness,A colorful folk
"Ein WC für Frau, Mann und Batman",Freude,happiness,"A toilet for women, man and Batman"
Spitzensportler trainieren auf Kosten von Steuerzahlern,Unklar,neutral,Top athletes train at the expense of taxpayers
Wie sicher ist die Gesichtserkennung des iPhone X?,Vertrauen,love,How safe is the facial recognition of the iPhone X?
31 Sportler von Peking 2008 neu gedopt erwischt!,Vertrauen,love,31 athleter Von Beijing 2008 neu wiped out!
Bundesrat will den Schnüffelstaat light,Überraschung,surprise,Federal Council wants the sniffing state of Light
Der Kanton Zug erhöht erstmals seit über 40 Jahren die Steuern,Vertrauen,love,The canton of train increases taxes for the first time in over 40 years
Pilotversuch mit selbstfahrenden Elektro-Fernbussen in Nevada,Antizipation,enthusiasm,Pilot test with self-driving electric busts in Nevada
Kind oder Kuh – wer wird mehr gefördert?,Freude,happiness,Child or cow - who is promoted more?
Exit will das Thema «Altersfreitod» weiter enttabuisieren,Vertrauen,love,Exit wants to continue to taboo the topic of “age -old death”
«Für die Schweiz ist die letzte Hoffnung gestorben»,Antizipation,enthusiasm,"""The last hope for Switzerland has died"""
Das Silicon Valley kritisiert zunehmend das Silicon Valley,Überraschung,surprise,The Silicon Valley is increasingly criticizing the Silicon Valley
FDP-Frauen fordern Frauenquote per Gesetz,Antizipation,enthusiasm,FDP women demand women's quota by law
Kita- und Schulkinder müssen gegen Masern geimpft werden,Unklar,neutral,Kita and school children must be vaccinated against measles
Google beschränkt Microtargeting für politische Werbung,Vertrauen,love,Google limits microtargeting for political advertising
"Warum man die Netze von Facebook, Amazon, Google und Co. nicht verstaatlichen sollte",Überraschung,surprise,"Why you shouldn't nationalize the networks of Facebook, Amazon, Google and Co."
"«Peking macht in Xinjiang alles richtig», sagen Chinas Anhänger im Uno-Menschenrechtsrat",Überraschung,surprise,"""Beijing does everything right in Xinjiang,"" say China's supporters in the UN Human Rights Council"
Schuldenabbau oder Zusatzgelder für die AHV?,Vertrauen,love,Debting or additional money for the AHV?
Ohne Einigung mit der EU wird der bilaterale Weg schleichend erodieren,Antizipation,enthusiasm,"Without agreement with the EU, the bilateral path is gradually eroding"
Islam soll in Luzern Landeskirche werden,Antizipation,enthusiasm,Islam is said to be in Lucerne Landeskirche
Härtere Strafen für Belästigung und Kinderschänder in Frankreich,Ärger,anger,Harder punishments for harassment and child molesters in France
Die Eintracht fällt gegen Leverkusen auseinander,Überraschung,surprise,Eintracht falls apart against Leverkusen
Durchbruch bei der Reform der Pensionskassen – aber die Wirtschaft ist gespalten,Überraschung,surprise,Breakthrough in the reform of the pension funds - but the economy is divided
"Erst posten, dann motzen!",Ekel,hate,"First post, then mint!"
"Der Doping-Skandal im Langlauf zeigt, dass der Sport Hilfe von aussen braucht",Ärger,anger,The doping scandal in cross-country skiing shows that sport needs help from outside
Schuldenabbau oder Zusatzgelder für die AHV?,Antizipation,enthusiasm,Debting or additional money for the AHV?
Dignitas-Chef: Politiker wollen Sterbehilfe verhindern,Traurigkeit,sadness,Dignitas boss: politicians want to prevent euthanasia
«Passanten erdolchen geht zu weit»,Angst,worry,"""Passers -by Erdoltel goes too far"""
Volvo und Baidu bündeln die Kräfte bei selbstfahrenden Autos für China,Antizipation,enthusiasm,Volvo and Baidu bundle the forces for self -driving cars for China
Für eine ökologische Zivilisation – warum wir die ökonomischen Gewissheiten der Industrialisierung und ihrer Massenkultur aufgeben müssen,Traurigkeit,sadness,For ecological civilization - why we have to give up the economic certainties of industrialization and its mass culture
Die dunkle Seite des Bitcoin,Unklar,neutral,The dark side of the Bitcoin
Die inflationäre Rede von Rassismus ist kontraproduktiv,Traurigkeit,sadness,The inflationary speech of racism is counterproductive
Die Zürcher SVP ist eine Wundertüte,Antizipation,enthusiasm,The Zurich SVP is a surprise bag
SP warnt Kantone vor Senkung der Unternehmenssteuern,Antizipation,enthusiasm,SP warns cantons of reducing corporate taxes
Schleichend in die totale Überwachung,Angst,worry,Creeping into total surveillance
Bundesrat will Programm für Kinderbetreuungsplätze nicht verlängern,Überraschung,surprise,Federal Council does not want to extend the program for childcare places
Kirchliche Hilfswerke bleiben politisch,Vertrauen,love,Ecclesiastical aids remain political
Verwahrung von Solothurner Kathedralen-Brandstifter wird aufgehoben,Überraschung,surprise,Solothurn cathedral brandyers are lifted
Das Flüchtlingslager Moria wird zur politischen Affäre,Traurigkeit,sadness,The Moria refugee camp becomes a political affair
"Apple, Google & Co. im Sturzflug",Antizipation,enthusiasm,"Apple, Google & Co. in a dive"
Getreideproduktion bereits 2020 gefährdet,Antizipation,enthusiasm,Grain production at risk as early as 2020
Google baut ein «echtes Hirn» in Zürich,Vertrauen,love,"Google builds a ""real brain"" in Zurich"
Fünf Fakten zu Google in Zürich,Vertrauen,love,Five facts about Google in Zurich
Polizeidirektoren prüfen Sterbehilfe im Gefängnis,Unklar,neutral,Check police directors to euthanasia in prison
Verwahrung verschärfen,Vertrauen,love,Exacerbate
120'000 gültige Unterschriften für Konzernverantwortungsinitiative,Vertrauen,love,"120,000 valid signatures for group responsibility initiative"
In Finnland hat die umstrittene Wolfsjagd begonnen,Antizipation,enthusiasm,The controversial wolf hunt began in Finland
"Es braucht bloss vier Elemente, damit Prämien für die Krankenversicherung nicht ins Uferlose steigen",Antizipation,enthusiasm,It only takes four elements so that premiums for health insurance do not go into the bankless
Ein Picks gibt zu denken,Freude,happiness,A picks gives to think
Künstliche Intelligenz – Hoffnungen und Befürchtungen,Antizipation,enthusiasm,Artificial intelligence - hopes and fears
FDP will nicht mit der SVP zusammenspannen,Überraschung,surprise,FDP does not want to span the SVP
Die Krise der Krisenhelfer,Traurigkeit,sadness,The crisis of the crisis helpers
Präventive Überwachung stösst in der Schweiz auf Zustimmung,Vertrauen,love,Preventive monitoring is encouraging in Switzerland
Bringt ein EU-Beitritt mehr Wirtschaftswachstum?,Vertrauen,love,Does EU accession bring more economic growth?
Weniger Zigi-Werbung und Verkaufsverbot an Minderjährige,Antizipation,enthusiasm,Less cigi advertising and a ban on sales to minors
Gegen den Drang zu härteren Strafen,Unklar,neutral,Against the urge to harder punishments
Bundesrat will beim EU-Plastikverbot nicht nachziehen,Vertrauen,love,Federal Council does not want to follow the EU plastic ban
«Das ist die neue Normalität»,Antizipation,enthusiasm,"""This is the new normality"""
"Der Öko-Populismus ist nicht so niedlich, wie er scheint",Unklar,neutral,Eco-populism is not as cute as it seems
Schwyz will nur noch freiwillig ans Opernhaus zahlen,Antizipation,enthusiasm,Schwyz just wants to pay voluntarily to the opera house
London will nach Brexit EU-Subventionen vollumfänglich ersetzen,Antizipation,enthusiasm,"According to Brexit, London wants to fully replace EU subsidies"
Rund 300 Schwarzbären bei kurzer Jagd-Freigabe in Florida erlegt,Überraschung,surprise,Around 300 black bears in Florida with a short hunting approval in Florida
Indizien zu Dürreperioden: Der Einfluss des Menschen lässt sich weiterhin schwer greifen,Antizipation,enthusiasm,Indications of drought: The influence of man is still difficult to grip
Die Welt macht einen Schritt zurück – auch wegen des Klimawandels,Angst,worry,The world takes a step back - also because of climate change
Kantonsrat schiesst Jagd-Initiative ab,Antizipation,enthusiasm,Cantonal council shoots hunting initiative
Gegenüber autonomen Autos herrschen in der Schweiz diffuse Ängste,Freude,happiness,There are diffuse fears compared to autonomous cars in Switzerland
Die offene Gesellschaft verteidigen,Vertrauen,love,Defend the open society
Börse macht süchtig wie das Casino,Überraschung,surprise,The stock exchange is addictive like the casino
Bei der Kinderbetreuung schlägt ihr Herz ganz weit links,Antizipation,enthusiasm,"With childcare, your heart beats far left"
US-Regierung zieht sich aus Uno-Menschenrechtsrat zurück,Traurigkeit,sadness,US government withdraws from the UN Human Rights Council
Gaming aus der Cloud,Antizipation,enthusiasm,Gaming from the cloud
Das grosse Wagnis der Freiheit: Was moderne Demokratien zusammenhält,Antizipation,enthusiasm,The great risk of freedom: what modern democracies holds together
Weniger Zigi-Werbung und Verkaufsverbot an Minderjährige,Überraschung,surprise,Less cigi advertising and a ban on sales to minors
Grosser Rat Bern gegen Ausländerstimmrecht,Unklar,neutral,Great Council Bern against the right to vote
Verkehr kostet Allgemeinheit in einem Jahr 13 Milliarden Franken,Überraschung,surprise,Traffic cost a general public in one year
Wolf- und Luchsbestände mit Jagd regulieren,Antizipation,enthusiasm,Regulate wolf and lynx stocks with hunting
Ein Stück Gratis-Pizza für Obdachlose,Freude,happiness,A piece of free pizza for homeless people
Schliessen sich Kapitalismus und Demokratie aus?,Vertrauen,love,Do capitalism and democracy exclude themselves?
Zuerst die Arbeit oder zuerst das Vergnügen?,Unklar,neutral,First work or the pleasure?
Soll Cannabis legalisiert werden?,Antizipation,enthusiasm,Should cannabis be legalized?
Die Schweiz nicht austrocknen lassen,Angst,worry,Do not let Switzerland dry out
«Der Siegeszug der Extremisten macht mir Sorgen»,Unklar,neutral,"""The triumphal march of the extremists worries me"""
Google setzt auf Videospiele,Unklar,neutral,Google relies on video games
«Die Initiative ist ärgerlich und unsinnig!»,Ärger,anger,"""The initiative is annoying and nonsensical!"""
Wenn der Musterschüler beim Recycling schummelt,Antizipation,enthusiasm,Wen the patterns of the patterns at the recycling
Grosskonzerne wollen Plastik bei Verpackungen reduzieren,Vertrauen,love,Large corporations want to reduce plastic in packaging
Schweiz will gleiche Klima-Gradmesser,Vertrauen,love,Switzerland wants the same climate degree knife
Die Fehler der Natur korrigieren,Vertrauen,love,Correct the mistakes of nature
Mehr Spielraum für 60-Stunden-Wochen in der Schweiz,Antizipation,enthusiasm,More scope for 60-hour weeks in Switzerland
Mindestlohn in Kalifornien soll auf 15 Dollar steigen,Unklar,neutral,Minimum wages in California should increase to $ 15
Bundesrat soll Medikamentenpreise weniger stark senken,Antizipation,enthusiasm,Federal Council is said to lower medication prices less
Beschränkung der Zuwanderung hätte Folgen für den Wohnungsmarkt,Antizipation,enthusiasm,Restriction of immigration would have consequences for the housing market
Keine Subventionen für Tierquäler,Ärger,anger,No subsidies for cruelty to animals
Rudolf Joders Pläne stossen auf Widerstand,Antizipation,enthusiasm,Rudolf Joder's plans are resistant
Um was geht es bei der Energiestrategie 2050?,Vertrauen,love,What is the 2050 energy strategy about?
Sinkflug bei Medikamentenpreisen dürfte 2016 weitergehen,Überraschung,surprise,Sink flight at medication prices is likely to continue in 2016
Volksinitiative für ein kantonales Filmfördergesetz:  Begehren ohne zwingendes Drehbuch,Antizipation,enthusiasm,Volks initiative for a cantonal film funding law: desire without a mandatory script
Der Verzicht auf eine lebenslängliche Verwahrung ist richtig,Ärger,anger,The absence of life -long custody is correct
Künstliche Intelligenz im Sport wäre sinnlos,Überraschung,surprise,Artificial intelligence in sport would be pointless
Die ETH entlässt Professorin Carollo wegen Mobbing-Vorwürfen – 7 Antworten zur ersten Kündigung in der Geschichte der Hochschule,Ärger,anger,The ETH releases Professor Carollo for bullying allegations-7 answers to the first termination in the history of the university
Deutsche Klimaschützer misstrauen dem Markt,Antizipation,enthusiasm,German climate protection officers distrust the market
Eine Reise in die Heimat des Atoms,Ekel,hate,A trip to the home of the atom
Späte Beichte bringt Google mächtig Ärger,Antizipation,enthusiasm,Late confession brings Google a lot of trouble
Am 29.03.2019 kommt der EU-Austritt,Antizipation,enthusiasm,"On March 29th, 2019 the EU exit comes"
Nationalräte beantworten Fragen nicht und verärgern damit die SVP,Ärger,anger,National councils do not answer questions and upset the SVP
Muslime wollen Kirchensteuern,Vertrauen,love,Muslims want church taxes
Der Papst empfiehlt Nein auch zu «leichten» Drogen,Angst,worry,The Pope also recommends no to “light” drugs
Stehen China und die USA vor einem bewaffneten Konflikt?,Überraschung,surprise,Are China and the United States facing an armed conflict?
Europas Mühen mit den afrikanischen Migranten,Antizipation,enthusiasm,Europe's efforts with the African migrants
