sentence_de,emotion_de,emotion_en,sentence_en
Wachkoma-Patient in Argentinien nach Urteil ohne Eingriff gestorben,Vertrauen,love,
Unter Ursula von der Leyen muss die EU sich erneuern – kann sie das Korsett der nationalen Parteien sprengen?,Antizipation,enthusiasm,
Teure Lücken im Schweizer Bildungswesen,Angst,worry,
Erste positive Crispr-Studie begeistert die Wall Street,Angst,worry,
Warum Venezuela eine Kryptowährung bastelt,Antizipation,enthusiasm,
«Es braucht das Strafrecht nicht wegen jedem Hundegebell»,Antizipation,enthusiasm,
Kulturförderung: Erneut mehr Geld für die Giesskanne,Antizipation,enthusiasm,
"Klimasünder zahlen, Klimaschützer kassieren",Freude,happiness,
Ist der Autoroboter von Tesla eine Zeitbombe?,Antizipation,enthusiasm,
Schon heute sind in der Schweiz 64-Stunden-Wochen möglich,Ärger,anger,
"Was Kindertagesstätten unternehmen, um Missbrauch vorzubeugen",Unklar,neutral,
«Kein endloser Goldrausch bei Bitcoin»,Unklar,neutral,
Der deutsche Gesundheitsminister blockiert die Sterbehilfe,Traurigkeit,sadness,
«20 Minuten» animiert Junge zum Austritt – die Kirche findet das gar nicht lustig,Unklar,neutral,
Wie Google in China Geschäfte machen will,Antizipation,enthusiasm,
Bund soll die Schaffung von Krippenplätzen weiterhin fördern,Freude,happiness,
Eine Europäische Union «en marche»?,Antizipation,enthusiasm,
Das Hochrisiko Männlichkeit,Antizipation,enthusiasm,
Auch Islam-Kritik muss möglich sein,Ärger,anger,
Maximilian Reimann fordert Schuldenbremse für die SRG!,Vertrauen,love,
Über 140'000 Unterschriften für Konzernverantwortungsinitiative,Vertrauen,love,
Huawei bringt ein bisschen Jungfraujoch in den Süden Chinas,Antizipation,enthusiasm,
Vergewaltiger sollen auf jeden Fall hinter Gitter,Unklar,neutral,
Der IS hat den Islam entführt,Vertrauen,love,
Überwachung mit Staatstrojaner kommt Bund und Kantone teuer zu stehen,Antizipation,enthusiasm,
Beim heimlichen Handy-Riesen,Antizipation,enthusiasm,
Im Europaparlament Einigkeit über Ausbau des Grenzschutzes,Ärger,anger,
Eine Hymne an den Kanton Glarus,Vertrauen,love,
Die Altersvorsorge ist weiterhin die grösste Sorge der Schweizer,Angst,worry,
Kirchen: Menschenrechte nicht kurzsichtiger Tagespolitik opfern,Unklar,neutral,
Umfrage: Schweizer halten Reform der Altersvorsorge für nötig,Überraschung,surprise,
Glaubenslehren: Auch die Ordnung des Himmels ist nicht ewig,Unklar,neutral,
Stadt Zürich: Wieder Millionen im Plus – und wieder sollen die Steuern nicht sinken,Ärger,anger,
Russlands Wiederwahl in UNO-Menschenrechtsrat gescheitert,Antizipation,enthusiasm,
Beben in China: Endloses Warten auf Hilfe,Ärger,anger,
Zahlungssystem und «Weltwährung» Libra: Mit verhindern und verbieten verpasst die EU die Zukunft,Unklar,neutral,
«Für uns gibt es diese Ehe nicht»,Unklar,neutral,
Ford testet den Effekt selbstfahrender Autos mit getarntem Fahrer,Vertrauen,love,
Pokémon-Jagd auf dem Friedhof!,Überraschung,surprise,
Bundesrat Berset blockiert Cannabis-Politik der Städte,Unklar,neutral,
Multikulti führt zu Abkapselung,Antizipation,enthusiasm,
In dieser Firma gibt es eine «Happiness-Managerin»,Freude,happiness,
Staatsanwaltschaft fordert erneut lebenslange Verwahrung,Ekel,hate,
Menschenrechtsgruppen werfen griechischer Polizei Rassismus vor,Antizipation,enthusiasm,
Wie funktioniert eine Suchmaschine?,Antizipation,enthusiasm,
Schweizer Selbstbestimmung: Die wichtigsten Fakten zu den internationalen Verträgen,Überraschung,surprise,
Jäger sollen auf Wolf und Bär anlegen dürfen,Antizipation,enthusiasm,
Wird der Staat überflüssig?,Überraschung,surprise,
Zuwanderer gehen oft rasch in die Heimat zurück,Antizipation,enthusiasm,
Immer wieder hebt das Gericht lebenslange Verwahrungen auf,Ekel,hate,
Ein Werbeverbot zum Schutz parkierender Frauen,Antizipation,enthusiasm,
Bundesrat will Gebühren für Telefonüberwachung erhöhen,Antizipation,enthusiasm,
Hitzeperioden in Australien kommen früher als erwartet,Überraschung,surprise,
Kinderbetreuungsabzug light,Unklar,neutral,
«Sie können ungestraft töten»,Überraschung,surprise,
Aus ETH wird ITH!,Freude,happiness,
Willkommen auf dem Multikulti-Klo,Überraschung,surprise,
«Warum braucht ein lebensmüder Mensch eine Lizenz zum Sterben?»,Antizipation,enthusiasm,
Künstliche Intelligenz als Schmiermittel für die Suchmaschine,Antizipation,enthusiasm,
Ein Ende der Dürre ist nicht absehbar,Antizipation,enthusiasm,
Schweizer konsumieren pro Jahr 60 Tonnen Cannabis – doch die Politik träumt weiter von einer drogenfreien Welt,Antizipation,enthusiasm,
Das Parlament sagt Ja zu einem zweiwöchigen Vaterschaftsurlaub,Antizipation,enthusiasm,
Luxemburger wollen kein Ausländerwahlrecht,Antizipation,enthusiasm,
"Zwackt die Kita-Kette Globegarden ihren Mitarbeitenden gesetzeswidrig Geld ab? Nein, sagt ein Rechtsprofessor",Unklar,neutral,
"Das CO2-Gesetz leistet einiges, doch nicht alles",Vertrauen,love,
Was ist an einem Wein nicht vegan?,Unklar,neutral,
"Ja zur «Ehe für alle», aber in Etappen",Freude,happiness,
Vegi-Burger im «Helvti Diner»: Mampfen und Mimikry,Unklar,neutral,
Gemeinde stimmt Steuererhöhung zu,Ärger,anger,
Die Schweizer Banken warnen: Negativzinsen dürfen nicht zur «neuen Normalität» werden,Angst,worry,
Uno verabschiedet Resolution gegen sexuelle Belästigung und Gewalt,Ärger,anger,
Team Trek: Ein Dopingfall und viele Fragen,Unklar,neutral,
Tusk fordert von Deutschland mehr Einsatz bei der EU-Grenzsicherung,Vertrauen,love,
Knast-Wärterin wollte Ausbrecher als Killer anheuern,Angst,worry,
Autofahrer kann «Schuld» am Unfall nicht dem Fahrassistenten zuschieben,Antizipation,enthusiasm,
Diese Box wird sich selber reparieren,Freude,happiness,
Islam-Integration von Religionsrat gefordert,Vertrauen,love,
"Evidenzbasierter Rassismus – Algorithmen sind immer nur so schlau wie die Daten, auf denen sie beruhen",Unklar,neutral,
Laksmi Pamuntjak: Schreiben als Kampf gegen das eigene Stigma,Traurigkeit,sadness,
Die türkische Demokratie ist noch lange nicht tot,Vertrauen,love,
Auf dem Weg nach oben wird die Luft für Frauen dünn,Vertrauen,love,
Künstliche Intelligenz für Diagnosen in der Kindermedizin,Überraschung,surprise,
Die Immigration treibt Schwedens Sozialdemokraten nach rechts,Unklar,neutral,
Die mächtigste SVP aller Zeiten bringt wenig zustande,Antizipation,enthusiasm,
Google drängt zurück nach China,Antizipation,enthusiasm,
Ständerat gegen längere Ladenöffnungszeiten,Ärger,anger,
Weniger Telefonüberwachungen im vergangenen Jahr,Antizipation,enthusiasm,
Wie die Verschwörungstheorien um Jeffrey Epsteins Suizid entstanden sind,Ekel,hate,
Das bilaterale Tauwetter dauert an,Ärger,anger,
Humanitäres Völkerrecht besser respektieren,Traurigkeit,sadness,
Bundesrat lehnt Mindestlohn-Initiative ab,Unklar,neutral,
Google könnte Rekord-Busse erhalten,Ärger,anger,
Bundesrat drängt auf Reformen,Traurigkeit,sadness,
SVP: Konkordanz mit Wahl von Parmelin wiederhergestellt,Antizipation,enthusiasm,
Wo in Europa Abtreibungen erlaubt sind und unter welchen Voraussetzungen,Überraschung,surprise,
Venezuelas Regierung erhöht den Mindestlohn - neue Proteste geplant,Ärger,anger,
Aus den Trümmern der Finanzkrise erhob sich der Bitcoin,Überraschung,surprise,
"Kommt Froome davon, hat der Radsport einen Totalschaden!",Ärger,anger,
Contra Geldspielgesetz: Ein gigantischer Schwarzmarkt,Überraschung,surprise,
"Versicherungen zu vergleichen, lohnt sich",Unklar,neutral,
Muslime wollen Kirchensteuern,Antizipation,enthusiasm,
Der Online-Händler Amazon startet mit der Einführung eines Mindestlohns für seine Lagermitarbeiter eine Charmeoffensive,Antizipation,enthusiasm,
"Du isst, was du bist",Antizipation,enthusiasm,
Der Schatten des Brexit lastet über der Schweiz,Überraschung,surprise,
Wie Konfessionslose und Muslime Millionen für die Kirchen zahlen,Antizipation,enthusiasm,
Ein buntes Völkchen,Freude,happiness,
"Ein WC für Frau, Mann und Batman",Freude,happiness,
Spitzensportler trainieren auf Kosten von Steuerzahlern,Unklar,neutral,
Wie sicher ist die Gesichtserkennung des iPhone X?,Vertrauen,love,
31 Sportler von Peking 2008 neu gedopt erwischt!,Vertrauen,love,
Bundesrat will den Schnüffelstaat light,Überraschung,surprise,
Der Kanton Zug erhöht erstmals seit über 40 Jahren die Steuern,Vertrauen,love,
Pilotversuch mit selbstfahrenden Elektro-Fernbussen in Nevada,Antizipation,enthusiasm,
Kind oder Kuh – wer wird mehr gefördert?,Freude,happiness,
Exit will das Thema «Altersfreitod» weiter enttabuisieren,Vertrauen,love,
«Für die Schweiz ist die letzte Hoffnung gestorben»,Antizipation,enthusiasm,
Das Silicon Valley kritisiert zunehmend das Silicon Valley,Überraschung,surprise,
FDP-Frauen fordern Frauenquote per Gesetz,Antizipation,enthusiasm,
Kita- und Schulkinder müssen gegen Masern geimpft werden,Unklar,neutral,
Google beschränkt Microtargeting für politische Werbung,Vertrauen,love,
"Warum man die Netze von Facebook, Amazon, Google und Co. nicht verstaatlichen sollte",Überraschung,surprise,
"«Peking macht in Xinjiang alles richtig», sagen Chinas Anhänger im Uno-Menschenrechtsrat",Überraschung,surprise,
Schuldenabbau oder Zusatzgelder für die AHV?,Vertrauen,love,
Ohne Einigung mit der EU wird der bilaterale Weg schleichend erodieren,Antizipation,enthusiasm,
Islam soll in Luzern Landeskirche werden,Antizipation,enthusiasm,
Härtere Strafen für Belästigung und Kinderschänder in Frankreich,Ärger,anger,
Die Eintracht fällt gegen Leverkusen auseinander,Überraschung,surprise,
Durchbruch bei der Reform der Pensionskassen – aber die Wirtschaft ist gespalten,Überraschung,surprise,
"Erst posten, dann motzen!",Ekel,hate,
"Der Doping-Skandal im Langlauf zeigt, dass der Sport Hilfe von aussen braucht",Ärger,anger,
Schuldenabbau oder Zusatzgelder für die AHV?,Antizipation,enthusiasm,
Dignitas-Chef: Politiker wollen Sterbehilfe verhindern,Traurigkeit,sadness,
«Passanten erdolchen geht zu weit»,Angst,worry,
Volvo und Baidu bündeln die Kräfte bei selbstfahrenden Autos für China,Antizipation,enthusiasm,
Für eine ökologische Zivilisation – warum wir die ökonomischen Gewissheiten der Industrialisierung und ihrer Massenkultur aufgeben müssen,Traurigkeit,sadness,
Die dunkle Seite des Bitcoin,Unklar,neutral,
Die inflationäre Rede von Rassismus ist kontraproduktiv,Traurigkeit,sadness,
Die Zürcher SVP ist eine Wundertüte,Antizipation,enthusiasm,
SP warnt Kantone vor Senkung der Unternehmenssteuern,Antizipation,enthusiasm,
Schleichend in die totale Überwachung,Angst,worry,
Bundesrat will Programm für Kinderbetreuungsplätze nicht verlängern,Überraschung,surprise,
Kirchliche Hilfswerke bleiben politisch,Vertrauen,love,
Verwahrung von Solothurner Kathedralen-Brandstifter wird aufgehoben,Überraschung,surprise,
Das Flüchtlingslager Moria wird zur politischen Affäre,Traurigkeit,sadness,
"Apple, Google & Co. im Sturzflug",Antizipation,enthusiasm,
Getreideproduktion bereits 2020 gefährdet,Antizipation,enthusiasm,
Google baut ein «echtes Hirn» in Zürich,Vertrauen,love,
Fünf Fakten zu Google in Zürich,Vertrauen,love,
Polizeidirektoren prüfen Sterbehilfe im Gefängnis,Unklar,neutral,
Verwahrung verschärfen,Vertrauen,love,
120'000 gültige Unterschriften für Konzernverantwortungsinitiative,Vertrauen,love,
In Finnland hat die umstrittene Wolfsjagd begonnen,Antizipation,enthusiasm,
"Es braucht bloss vier Elemente, damit Prämien für die Krankenversicherung nicht ins Uferlose steigen",Antizipation,enthusiasm,
Ein Picks gibt zu denken,Freude,happiness,
Künstliche Intelligenz – Hoffnungen und Befürchtungen,Antizipation,enthusiasm,
FDP will nicht mit der SVP zusammenspannen,Überraschung,surprise,
Die Krise der Krisenhelfer,Traurigkeit,sadness,
Präventive Überwachung stösst in der Schweiz auf Zustimmung,Vertrauen,love,
Bringt ein EU-Beitritt mehr Wirtschaftswachstum?,Vertrauen,love,
Weniger Zigi-Werbung und Verkaufsverbot an Minderjährige,Antizipation,enthusiasm,
Gegen den Drang zu härteren Strafen,Unklar,neutral,
Bundesrat will beim EU-Plastikverbot nicht nachziehen,Vertrauen,love,
«Das ist die neue Normalität»,Antizipation,enthusiasm,
"Der Öko-Populismus ist nicht so niedlich, wie er scheint",Unklar,neutral,
Schwyz will nur noch freiwillig ans Opernhaus zahlen,Antizipation,enthusiasm,
London will nach Brexit EU-Subventionen vollumfänglich ersetzen,Antizipation,enthusiasm,
Rund 300 Schwarzbären bei kurzer Jagd-Freigabe in Florida erlegt,Überraschung,surprise,
Indizien zu Dürreperioden: Der Einfluss des Menschen lässt sich weiterhin schwer greifen,Antizipation,enthusiasm,
Die Welt macht einen Schritt zurück – auch wegen des Klimawandels,Angst,worry,
Kantonsrat schiesst Jagd-Initiative ab,Antizipation,enthusiasm,
Gegenüber autonomen Autos herrschen in der Schweiz diffuse Ängste,Freude,happiness,
Die offene Gesellschaft verteidigen,Vertrauen,love,
Börse macht süchtig wie das Casino,Überraschung,surprise,
Bei der Kinderbetreuung schlägt ihr Herz ganz weit links,Antizipation,enthusiasm,
US-Regierung zieht sich aus Uno-Menschenrechtsrat zurück,Traurigkeit,sadness,
Gaming aus der Cloud,Antizipation,enthusiasm,
Das grosse Wagnis der Freiheit: Was moderne Demokratien zusammenhält,Antizipation,enthusiasm,
Weniger Zigi-Werbung und Verkaufsverbot an Minderjährige,Überraschung,surprise,
Grosser Rat Bern gegen Ausländerstimmrecht,Unklar,neutral,
Verkehr kostet Allgemeinheit in einem Jahr 13 Milliarden Franken,Überraschung,surprise,
Wolf- und Luchsbestände mit Jagd regulieren,Antizipation,enthusiasm,
Ein Stück Gratis-Pizza für Obdachlose,Freude,happiness,
Schliessen sich Kapitalismus und Demokratie aus?,Vertrauen,love,
Zuerst die Arbeit oder zuerst das Vergnügen?,Unklar,neutral,
Soll Cannabis legalisiert werden?,Antizipation,enthusiasm,
Die Schweiz nicht austrocknen lassen,Angst,worry,
«Der Siegeszug der Extremisten macht mir Sorgen»,Unklar,neutral,
Google setzt auf Videospiele,Unklar,neutral,
«Die Initiative ist ärgerlich und unsinnig!»,Ärger,anger,
Wenn der Musterschüler beim Recycling schummelt,Antizipation,enthusiasm,
Grosskonzerne wollen Plastik bei Verpackungen reduzieren,Vertrauen,love,
Schweiz will gleiche Klima-Gradmesser,Vertrauen,love,
Die Fehler der Natur korrigieren,Vertrauen,love,
Mehr Spielraum für 60-Stunden-Wochen in der Schweiz,Antizipation,enthusiasm,
Mindestlohn in Kalifornien soll auf 15 Dollar steigen,Unklar,neutral,
Bundesrat soll Medikamentenpreise weniger stark senken,Antizipation,enthusiasm,
Beschränkung der Zuwanderung hätte Folgen für den Wohnungsmarkt,Antizipation,enthusiasm,
Keine Subventionen für Tierquäler,Ärger,anger,
Rudolf Joders Pläne stossen auf Widerstand,Antizipation,enthusiasm,
Um was geht es bei der Energiestrategie 2050?,Vertrauen,love,
Sinkflug bei Medikamentenpreisen dürfte 2016 weitergehen,Überraschung,surprise,
Volksinitiative für ein kantonales Filmfördergesetz:  Begehren ohne zwingendes Drehbuch,Antizipation,enthusiasm,
Der Verzicht auf eine lebenslängliche Verwahrung ist richtig,Ärger,anger,
Künstliche Intelligenz im Sport wäre sinnlos,Überraschung,surprise,
Die ETH entlässt Professorin Carollo wegen Mobbing-Vorwürfen – 7 Antworten zur ersten Kündigung in der Geschichte der Hochschule,Ärger,anger,
Deutsche Klimaschützer misstrauen dem Markt,Antizipation,enthusiasm,
Eine Reise in die Heimat des Atoms,Ekel,hate,
Späte Beichte bringt Google mächtig Ärger,Antizipation,enthusiasm,
Am 29.03.2019 kommt der EU-Austritt,Antizipation,enthusiasm,
Nationalräte beantworten Fragen nicht und verärgern damit die SVP,Ärger,anger,
Muslime wollen Kirchensteuern,Vertrauen,love,
Der Papst empfiehlt Nein auch zu «leichten» Drogen,Angst,worry,
Stehen China und die USA vor einem bewaffneten Konflikt?,Überraschung,surprise,
Europas Mühen mit den afrikanischen Migranten,Antizipation,enthusiasm,
Renzi gewinnt Vertrauensvotum im Parlament zu Homo-Partnerschaften,Antizipation,enthusiasm,
Jetzt darf Dolly-Vater Menschen klonen,Unklar,neutral,
Religion ist nicht das Leben selbst,Angst,worry,
Jagdverbotsinitiative geht selbst SP und Grünen zu weit,Überraschung,surprise,
Auf den Pariser Strassen hat es mehr Obdachlose als offiziell angenommen,Traurigkeit,sadness,
Hat es den «freien Willen» je gegeben?,Angst,worry,
EU-Umweltminister öffnen Tür zu neuen Anbauregeln für Genpflanzen,Antizipation,enthusiasm,
Fünf Rezepte gegen die SVP,Antizipation,enthusiasm,
So schlecht sind wir beim Naturschutz,Traurigkeit,sadness,
Neue Gentech-Verfahren sollen in der Schweiz liberaler reguliert werden als in der EU,Antizipation,enthusiasm,
"Die AHV schreibt ein Defizit von 2,2 Milliarden Franken",Traurigkeit,sadness,
"«Das ist sehr sexistisch, rassistisch und homophob!»",Unklar,neutral,
Richter wehren sich gegen höhere Mindeststrafen für Sexualdelikte,Vertrauen,love,
Die Initiative «Wildhüter statt Jäger» auf einen Blick,Vertrauen,love,
Knast-Wärterin wollte Ausbrecher als Killer anheuern,Überraschung,surprise,
«Die Schweiz muss raus aus der Schockstarre»,Vertrauen,love,
Doping: Der Traum vom Adonis-Körper genügt als Motiv,Vertrauen,love,
Erpressung mit Sexbildern: Internet-Unhold wird milder bestraft,Traurigkeit,sadness,
Es gibt eine hormonelle Bremse für intersexuelle Leichtathleten,Antizipation,enthusiasm,
Bis spätabends ins kühle Nass: Weshalb die SP Zürich längere Badi-Öffnungszeiten fordert,Freude,happiness,
Avenir Suisse fordert Schuldenbremse für AHV,Antizipation,enthusiasm,
Jerusalemer Kirchenstreit: Israel legt umstrittene Pläne auf Eis,Überraschung,surprise,
Indiens Wahrzeichen sollen mit Firmenlogos versehen werden,Freude,happiness,
Kommission will Gegenvorschlag zur Konzernverantwortungsinitiative,Vertrauen,love,
Die stille Lobbyorganisation der Hochschulen,Vertrauen,love,
Hitzeperioden und schwindender Permafrost: Die Schweiz muss sich für den Klimawandel wappnen,Antizipation,enthusiasm,
Fitness wird zum Muss – alle wollen Ihre Gesundheitsdaten,Antizipation,enthusiasm,
Staatlich anerkannter Islam,Freude,happiness,
Google-Chef kassiert 100 Millionen Bonus,Freude,happiness,
Hooligan muss zahlen,Unklar,neutral,
Schweiz will gleiche Klima-Gradmesser,Antizipation,enthusiasm,
Die EU-Staaten fordern die Schweiz zur Annahme des Rahmenvertrags auf,Antizipation,enthusiasm,
"Die Zahlen papierloser Zuwanderer in die USA sind auf einem Zehnjahres-Hoch. Trumps Mauer verhindert, die Krise in den Griff zu bekommen",Antizipation,enthusiasm,
Sterbehilfe ist in Italien kein Tabu mehr,Traurigkeit,sadness,
Weshalb der Zürcher Flughafendirektor nichts von einer Ticketabgabe hält,Überraschung,surprise,
«Datenschutz wird zum Täterschutz!»,Ärger,anger,
Schweiz propagiert Blockchain-Lösungen für Flüchtlinge,Freude,happiness,
"Der neue Bericht des Uno-Klimarats stellt sich der Frage, wie der Mensch in Zukunft leben kann. Die Antwort ist verworren",Angst,worry,
«Die lebenslange Verwahrung ist gestorben»,Traurigkeit,sadness,
Die Schweiz wird über das Burkaverbot abstimmen,Überraschung,surprise,
Frustrierte Hotelkette wirft Influencer raus,Ärger,anger,
Industrie-Allianz gegen Plastikabfälle: Greenpeace macht es sich mit der Verteufelung zu leicht,Antizipation,enthusiasm,
"Wissenschafter werweissen, ob die Erde in eine Heisszeit kippen könnte",Angst,worry,
Polizei will Prostituierte nicht vertreiben,Traurigkeit,sadness,
Dicke Luft im Videospielsektor,Antizipation,enthusiasm,
Laksmi Pamuntjak: Schreiben als Kampf gegen das eigene Stigma,Ekel,hate,
Google hat nun 7 Chat-Apps im Angebot,Antizipation,enthusiasm,
Australiens ältester Wissenschafter ist in der Schweiz angekommen – er will hier sterben,Unklar,neutral,
Doping ist kein Problem mehr,Antizipation,enthusiasm,
Smartphones füllen Huawei die Kasse,Freude,happiness,
Zürcher Wirtschaft muss Kinderbetreuung nicht unterstützen,Unklar,neutral,
Kommt jetzt der automatische Rentenklau?,Ärger,anger,
"Bis um 2 Uhr draussen essen und trinken: Zürich testet «mediterrane Nächte», doch die Gegner künden erbitterten Widerstand an",Antizipation,enthusiasm,
Die Initiative «Wildhüter statt Jäger» auf einen Blick,Antizipation,enthusiasm,
Ein aufgeklärter Mensch kann sich von Mohammed nur distanzieren,Traurigkeit,sadness,
Der Mörder von Rupperswil wird ordentlich verwahrt. Was heisst das? Eine Erklärung,Überraschung,surprise,
Künstliche Intelligenz als Schmiermittel für die Suchmaschine,Vertrauen,love,
Google baut ein «echtes Hirn» in Zürich,Freude,happiness,
Wie funktioniert eine Suchmaschine?,Freude,happiness,
Nach Sperre: Russlands Antidoping-Agentur legt Einspruch ein,Ärger,anger,
Staatliche Anerkennung von Religionsgemeinschaften: ein Auslaufmodell?,Antizipation,enthusiasm,
Politischer Prozentsatz,Unklar,neutral,
US-Republikaner wollen Schuldenobergrenze aussetzen,Unklar,neutral,
Zehn Millionen Menschen in Äthiopien wegen Dürre vom Hunger bedroht,Traurigkeit,sadness,
Die EU-Flüchtlingshilfe an die Türkei ist zu wenig effizient,Traurigkeit,sadness,
Polen demonstrieren gegen strengere Abtreibungsgesetze,Antizipation,enthusiasm,
Die Schweiz darf nicht der EU geopfert werden,Ärger,anger,
Aber was ist Bitcoin eigentlich?,Angst,worry,
Ab Herbst führt der Flughafen Zürich Gesichtserkennung ein,Überraschung,surprise,
Volk sagt klar Ja zur Anti-Minarett-Initiative!,Überraschung,surprise,
Höheres Haftungsrisiko für Hersteller selbstfahrender Fahrzeuge,Antizipation,enthusiasm,
Nationalrat sagt knapp Ja zum Burkaverbot,Antizipation,enthusiasm,
Ausstieg aus der Irrationalität,Vertrauen,love,
Die Antwort auf Trump heisst TTIP,Antizipation,enthusiasm,
Die SVP verrät ihre Wähler!,Ärger,anger,
"Klimasünder zahlen, Klimaschützer kassieren",Vertrauen,love,
Trump als Grund für Gefängnisrevolte,Unklar,neutral,
Venezuelas Regierung erhöht den Mindestlohn - neue Proteste geplant,Traurigkeit,sadness,
Transmenschen sollen Geschlecht und Vornamen einfacher ändern können,Unklar,neutral,
Bund senkt Medikamentenpreise um 60 Millionen Franken,Überraschung,surprise,
"Drogen zu verteufeln, nützt nur den Dealern",Traurigkeit,sadness,
Der Nationalrat stimmt knapp für eine Frauenquote,Freude,happiness,
Ärzte verdienen bis zu einer Million. Jetzt wird es der Politik zu viel,Überraschung,surprise,
Bedingungsloses Grundeinkommen fällt im Nationalrat durch,Angst,worry,
Höhere ETH-Gebühren nur für Ausländer,Ärger,anger,
Polizeigewalt in USA führt zu psychischen Problemen bei Schwarzen,Traurigkeit,sadness,
Energieanlagen in Schweizer Hand könnten Hälfte der AKW ersetzen,Antizipation,enthusiasm,
Die Reanimation des CO2-Gesetzes hat begonnen,Antizipation,enthusiasm,
Coca Cola und viele Investoren setzen auf Cannabis,Antizipation,enthusiasm,
Wieso plötzlich alle in Deutschland den Mindestlohn toll finden,Überraschung,surprise,
Die Papi-Zeit wird mehrheitsfähig: Alles über die Debatte zum Vaterschaftsurlaub,Antizipation,enthusiasm,
Liberalismus ist auch eine Charakterfrage,Unklar,neutral,
Kein Ausländerstimmrecht im Kanton Luzern,Unklar,neutral,
Hitzesommer läutet Klimawandel im Bundeshaus ein,Antizipation,enthusiasm,
"Müsste die EU der Schweiz nicht einen Betrag für den Marktzugang zahlen?, fragt SVP-Präsident Rösti und erhält vom Bundesrat eine Ökonomie-Lektion",Vertrauen,love,
"Kommt Froome davon, hat der Radsport einen Totalschaden!",Ekel,hate,
SVP verpasst Steilvorlage beim Waffenrecht,Antizipation,enthusiasm,
«Theologisch hat der Schleier keine Bedeutung»,Antizipation,enthusiasm,
AHV-Reform belastet vor allem die Jungen,Antizipation,enthusiasm,
Auch in der Agglo läufts der SVP nicht mehr,Traurigkeit,sadness,
«Google hat uns fast gekillt»,Ärger,anger,
«Jetzt können die Stammtisch-Diskussionen losgehen»,Freude,happiness,
Den Kitas hauts den Nuggi raus,Überraschung,surprise,
Stocker verzichtet jetzt doch auf eine Steuersenkung für alle,Antizipation,enthusiasm,
Diese Werbung bricht ein Tabu,Überraschung,surprise,
SBB-Chef kündigt weitere Preiserhöhungen an,Antizipation,enthusiasm,
Weshalb der Verzicht auf die lebenslange Verwahrung des Mörders von Marie richtig ist,Überraschung,surprise,
